x[mm]   y[mm]   z[mm]   U[m/s]  V[m/s]  W[m/s]  urms[m/s]       vrms[m/s]       wrms[m/s]       uv[m2/s2]       uw[m2/s2]       uuu[m3/s3]      vvv[m3/s3]      www[m3/s3]      uuv[m3/s3]      uuw[m3/s3]      uvv[m3/s3]      uww[m3/s3]
37.000	0.000	368.000	43.514	0.214	-5.731	0.589	0.411	0.588	-0.012	0.011	-0.074	-0.019	0.092	-0.009	0.016	-0.004	0.000
37.000	0.000	388.000	43.237	0.155	-5.274	0.468	0.317	0.393	-0.008	0.016	-0.077	-0.012	0.020	-0.005	-0.001	-0.004	-0.001
37.000	0.000	408.000	42.960	0.089	-4.797	0.440	0.295	0.339	-0.009	0.015	-0.069	-0.009	0.022	-0.004	-0.003	-0.001	0.000
37.000	0.000	428.000	42.791	0.012	-4.319	0.417	0.270	0.330	-0.012	0.016	-0.068	-0.010	0.020	-0.004	-0.002	-0.001	-0.003
37.000	0.000	458.000	42.481	0.037	-3.849	0.398	0.249	0.311	-0.010	0.016	-0.069	-0.008	0.011	-0.004	-0.003	-0.002	-0.003
37.000	0.000	488.000	42.216	0.229	-3.427	0.389	0.253	0.291	-0.009	0.015	-0.071	-0.009	0.010	-0.005	0.000	-0.002	-0.001
37.000	0.000	518.000	41.985	0.313	-2.961	0.393	0.241	0.277	-0.009	0.014	-0.085	-0.009	0.012	-0.004	-0.002	-0.002	-0.001
37.000	0.000	558.000	41.739	0.466	-2.380	0.397	0.235	0.286	-0.009	0.016	-0.075	-0.008	0.010	-0.003	-0.004	-0.002	-0.002
37.000	0.000	598.000	41.482	0.490	-1.966	0.403	0.234	0.292	-0.008	0.018	-0.073	-0.010	0.012	-0.003	-0.005	-0.003	-0.002
37.000	0.000	638.000	41.451	0.196	-1.682	0.404	0.230	0.273	-0.009	0.016	-0.069	-0.007	0.008	-0.004	-0.002	-0.002	-0.001
37.000	0.000	688.000	41.389	0.012	-1.435	0.404	0.231	0.265	-0.010	0.014	-0.068	-0.006	0.006	-0.003	-0.001	-0.001	-0.002
37.000	0.000	738.000	41.244	-0.346	-1.168	0.404	0.222	0.245	-0.008	0.016	-0.066	-0.006	0.006	-0.004	-0.002	-0.002	-0.001
