#  r      U      u'     V      v'      uv
#ROBACK/JOHNSON TABLE IV-11
-48.9  0.545  0.201 -0.054  0.214 -0.01552
-43.8  0.461  0.224 -0.087  0.226 -0.02186
-38.8  0.342  0.260 -0.048  0.224 -0.02753
-33.7  0.246  0.244 -0.070  0.215 -0.02361
-28.6  0.139  0.236 -0.068  0.255 -0.02553
-23.5  0.030  0.214  0.004  0.268 -0.01715
-18.4 -0.025  0.216  0.028  0.268 -0.01430
-13.4 -0.063  0.181  0.066  0.266 -0.00406
 -8.3 -0.092  0.182  0.088  0.269  0.00213
 -3.2 -0.098  0.165  0.110  0.237  0.00644
  1.7 -0.090  0.186 -0.095  0.256 -0.00682
  7.0 -0.082  0.186 -0.124  0.242 -0.01152
 12.0 -0.041  0.207 -0.129  0.241 -0.01419
 17.1  0.032  0.217 -0.165  0.263 -0.01685
 22.2  0.077  0.277 -0.150  0.256 -0.02274
 27.3  0.119  0.242 -0.138  0.244 -0.02713
 32.4  0.221  0.250 -0.183  0.225 -0.02575
 37.6  0.340  0.240 -0.168  0.216 -0.02159
 42.5  0.439  0.238 -0.152  0.197 -0.02058
 47.6  0.510  0.214 -0.144  0.165 -0.00960


#ROBACK/JOHNSON TABLE IV-17
-56.1  0.679  0.225  0.318  0.190 -0.00483
-51.0  0.600  0.230  0.378  0.203 -0.00597
-44.3  0.434  0.254  0.429  0.211 -0.00832
-37.5  0.275  0.242  0.430  0.221 -0.00256
-30.7  0.162  0.228  0.445  0.211  0.00158
-24.0  0.046  0.199  0.450  0.202  0.00546
-17.2 -0.010  0.191  0.380  0.194  0.00377
-10.4 -0.091  0.195  0.196  0.239  0.00904
  2.5 -0.124  0.185  0.024  0.127  0.00406
  3.1 -0.134  0.180  0.061  0.128  0.00243
  9.9 -0.068  0.194  0.243  0.250  0.00147
 16.7 -0.004  0.200  0.384  0.202  0.00101
 23.5  0.059  0.216  0.404  0.191 -0.00499
 30.2  0.127  0.231  0.404  0.210 -0.00009
 37.0  0.254  0.248  0.441  0.196 -0.01145
 43.8  0.453  0.244  0.411  0.209 -0.01368
 50.5  0.590  0.227  0.321  0.213 -0.01074
 53.9  0.656  0.221  0.353  0.213 -0.00273
