#  r      U      u'     V      v'      uv
#ROBACK/JOHNSON TABLE IV-11
-52.2 -0.056  0.414 -0.193  0.254  0.02485
-47.1  0.109  0.307 -0.162  0.251  0.02494
-42.0  0.229  0.254 -0.028  0.296  0.02535
-36.9  1.064  0.360  0.513  0.392  0.02011
-31.8  1.650  0.204  0.639  0.200 -0.01188
-26.7  1.430  0.305  0.555  0.235 -0.02112
-21.7  0.533  0.492  0.155  0.368 -0.05067
-16.6 -0.118  0.348  0.039  0.261  0.00841
-14.0 -0.074  0.367  0.073  0.203  0.02160
-11.5 -0.019  0.372  0.087  0.191  0.02905
 -6.4  0.308  0.332  0.110  0.209  0.00946
 -1.4  0.359  0.260  0.044  0.194 -0.00033
  1.4  0.387  0.276 -0.008  0.174  0.00474
  4.1  0.304  0.295  0.036  0.204  0.01469
  6.6  0.141  0.369  0.016  0.183  0.01180
  9.2 -0.024  0.365  0.038  0.191  0.01486
 11.7 -0.189  0.327  0.007  0.193  0.01061
 14.2 -0.224  0.306  0.017  0.242  0.00833
 14.2 -0.161  0.330  0.038  0.247  0.00915
 16.8 -0.213  0.338  0.041  0.308 -0.00321
 19.3  0.089  0.466  0.059  0.367 -0.04387
 21.9  0.633  0.461  0.197  0.343 -0.06230
 24.4  1.085  0.417  0.370  0.284 -0.04111
 27.0  1.422  0.328  0.539  0.237 -0.02425
 29.5  1.566  0.228  0.626  0.197 -0.01522
 32.0  1.650  0.203  0.628  0.190 -0.00876
 34.6  1.523  0.267  0.612  0.325  0.02494
 37.1  0.972  0.330  0.413  0.420  0.05563
 39.7  0.499  0.307  0.188  0.417  0.04225
 42.2  0.248  0.255 -0.046  0.315  0.01840
 44.7  0.161  0.255 -0.125  0.249  0.01336
 47.3  0.138  0.274 -0.160  0.221  0.01815


#ROBACK/JOHNSON TABLE IV-17
-58.7 -0.516  0.324  0.302  0.216  0.0095
-55.1 -0.369  0.287  0.376  0.248  0.0121
-51.9 -0.184  0.305  0.420  0.251  0.0156
-48.6  0.015  0.301  0.456  0.245  0.0036
-45.2  0.130  0.234  0.421  0.182  0.0018
-41.8  0.196  0.233  0.413  0.197  0.0004
-38.6  0.510  0.312  0.451  0.158  0.0006
-35.0  1.251  0.326  0.498  0.163  0.0067
-31.6  1.665  0.222  0.635  0.143  0.0040
-28.2  1.584  0.229  0.727  0.170  0.0106
-24.8  1.329  0.380  0.690  0.291  0.0257
-21.5  0.609  0.433  0.348  0.171  0.0198
-18.1 -0.207  0.452  0.193  0.360  0.0292
-11.3  0.024  0.431  0.068  0.169  0.0077
 -7.9  0.257  0.381  0.073  0.185  0.0075
 -4.5  0.290  0.313  0.086  0.192  0.0150
  0.0  0.370  0.274 -0.087  0.187  0.0106
  7.9  0.035  0.420 -0.003  0.197 -0.0008
 11.3 -0.151  0.377  0.001  0.182  0.0001
 14.7 -0.359  0.249 -0.019  0.230 -0.0007
 18.1 -0.029  0.467  0.066  0.381  0.0132
 21.5  0.660  0.426  0.322  0.370  0.0018
 24.8  1.309  0.334  0.744  0.255  0.0030
 28.3  1.615  0.196  0.715  0.149  0.0031
 31.6  1.685  0.174  0.664  0.118  0.0018
 35.0  1.360  0.316  0.540  0.270  0.0058
 38.4  0.576  0.331  0.480  0.290  0.0048
 41.8  0.168  0.340  0.407  0.191 -0.0040
 45.2  0.068  0.245  0.409  0.190  0.0000
 48.6 -0.031  0.271  0.407  0.201  0.0014
 51.9 -0.191  0.274  0.391  0.206  0.0064
 55.3 -0.342  0.266  0.368  0.224  0.0123
