#  r      U      u'     V      v'      uv
#ROBACK/JOHNSON TABLE IV-11
-54.9  0.318  0.148  0.002  0.056  0.00064
-48.8  0.332  0.130  0.004  0.061 -0.00011
-42.7  0.347  0.071  0.008  0.062  0.00042
-30.5  0.334  0.081  0.006  0.078 -0.00016
-24.4  0.321  0.097 -0.001  0.092 -0.00024
-18.3  0.311  0.090 -0.001  0.126  0.00024
-12.2  0.325  0.119 -0.011  0.175  0.00016
 -6.1  0.344  0.132 -0.024  0.231  0.00088
  0.0  0.371  0.116  0.035  0.229 -0.00231
 12.2  0.337  0.093  0.012  0.142 -0.00093
 24.4  0.341  0.108  0.014  0.085 -0.00072
 36.6  0.344  0.111 -0.009  0.071 -0.00018
 48.8  0.368  0.079 -0.014  0.074  0.00024


#ROBACK/JOHNSON TABLE IV-17
-42.7  0.348  0.076  0.391  0.058 -0.00027
-30.5  0.336  0.088  0.413  0.062 -0.00021
-18.3  0.316  0.087  0.418  0.071 -0.00108
 -9.1  0.329  0.122  0.319  0.149 -0.00565
 -1.0  0.364  0.159  0.107  0.267 -0.00332
  0.0  0.361  0.150  0.064  0.237 -0.00058
  6.1  0.350  0.118  0.273  0.154 -0.00576
 12.2  0.330  0.096  0.370  0.096 -0.00221
 24.4  0.336  0.079  0.409  0.067 -0.00083
 36.6  0.344  0.072  0.386  0.063 -0.00100
 48.8  0.326  0.087  0.375  0.055 -0.00041
 54.8  0.308  0.080  0.376  0.059 -0.00050
 57.9  0.297  0.082  0.369  0.058 -0.00060
