#  r      U      u'     V      v'      uv
#ROBACK/JOHNSON TABLE IV-11
-56.5  1.124  0.446 -0.028  0.211 -0.00697
-54.0  0.988  0.434 -0.030  0.238 -0.00735
-48.9  0.745  0.336 -0.075  0.227 -0.01323
-43.8  0.463  0.314 -0.134  0.251 -0.02225
-38.7  0.115  0.401 -0.098  0.280 -0.04593
-33.7 -0.134  0.284 -0.014  0.260 -0.02951
-28.6 -0.236  0.237 -0.003  0.253 -0.02274
-23.5 -0.312  0.166  0.027  0.216 -0.00737
-18.4 -0.331  0.160  0.049  0.205 -0.00369
-13.3 -0.326  0.163  0.023  0.196 -0.00452
-10.8 -0.328  0.189  0.026  0.191 -0.00186
 -6.9 -0.339  0.175  0.047  0.190 -0.00322
 -1.8 -0.337  0.192  0.040  0.197  0.00111
  2.1 -0.348  0.168 -0.049  0.193 -0.00225
  4.8 -0.370  0.150 -0.015  0.118 -0.00122
  9.9 -0.370  0.146 -0.009  0.090 -0.00012
 15.0 -0.341  0.151 -0.015  0.093 -0.00085
 20.0 -0.346  0.190 -0.002  0.148 -0.00199
 25.1 -0.297  0.216 -0.002  0.152  0.00850
 30.2 -0.191  0.291 -0.021  0.191  0.02453
 35.3  0.060  0.343 -0.079  0.247  0.03656
 35.3  0.073  0.342 -0.123  0.281 -0.04209
 40.4  0.296  0.347 -0.055  0.209 -0.02219
 45.4  0.564  0.334 -0.115  0.259 -0.02422
 50.5  0.817  0.376 -0.107  0.256  0.00076
 53.1  1.077  0.486 -0.008  0.254  0.00518
 54.3  1.075  0.480 -0.001  0.217  0.00370
 55.6  0.817  0.591 -0.018  0.193 -0.00107
 55.6  1.056  0.444 -0.005  0.177 -0.00049
 55.6  1.142  0.552  0.003  0.185  0.01047
 56.9  1.049  0.430 -0.003  0.183 -0.00229


#ROBACK/JOHNSON TABLE IV-17
-57.0  1.083  0.244  0.250  0.248  0.0125
-55.3  1.033  0.230  0.301  0.221  0.0035
-55.3  1.056  0.288  0.298  0.245  0.0057
-55.3  1.017  0.231  0.297  0.240  0.0040
-51.9  0.917  0.245  0.279  0.265  0.0009
-48.6  0.778  0.270  0.276  0.289  0.0005
-48.6  0.774  0.249  0.263  0.295 -0.0051
-41.8  0.412  0.330  0.304  0.292 -0.0073
-41.8  0.433  0.303  0.333  0.298 -0.0110
-35.0  0.051  0.328  0.355  0.288  0.0012
-28.2 -0.157  0.241  0.394  0.241  0.0139
-28.2 -0.111  0.234  0.374  0.204  0.0085
-21.5 -0.204  0.223  0.408  0.182  0.0117
-21.5 -0.268  0.191  0.235  0.260  0.0075
-18.1 -0.276  0.197  0.334  0.206  0.0117
-14.7 -0.297  0.154  0.322  0.188  0.0058
-14.7 -0.316  0.171  0.290  0.211  0.0079
-11.3 -0.299  0.174  0.230  0.210  0.0029
 -7.9 -0.343  0.169  0.157  0.197  0.0039
 -7.9 -0.322  0.163  0.210  0.192  0.0059
 -4.5 -0.333  0.146  0.130  0.192  0.0023
  0.0 -0.360  0.153 -0.042  0.161  0.0027
  0.0 -0.347  0.156 -0.086  0.177 -0.0043
  4.5 -0.245  0.196  0.365  0.213  0.0048
  7.9 -0.368  0.151  0.093  0.184  0.0010
 14.7 -0.337  0.162  0.239  0.182  0.0056
 21.5 -0.295  0.177  0.304  0.196  0.0011
 28.2 -0.248  0.241  0.392  0.223  0.0111
 28.2 -0.224  0.213  0.354  0.202  0.0012
 28.2 -0.201  0.233  0.355  0.203  0.0029
 35.0 -0.036  0.328  0.421  0.255  0.0015
 41.8  0.288  0.331  0.402  0.259 -0.0109
 41.8  0.290  0.296  0.360  0.266 -0.0135
 48.6  0.645  0.276  0.353  0.264 -0.0162
 55.3  0.901  0.230  0.309  0.238  0.0015
