x/H=4.0					
	y/H	U/Uc	u2/Uc2	v2/Uc2	-uv/Uc2
	-1				
	-0.92	-0.075	0.006	0.0012	0.0005
	-0.85	-0.106	0.0108	0.0068	0.0029
	-0.77	-0.077	0.0143	0.0101	0.0047
	-0.69	-0.032	0.0176	0.0123	0.0072
	-0.62	0.019	0.021	0.0143	0.0091
	-0.54	0.076	0.0247	0.0149	0.0102
	-0.46	0.144	0.0281	0.0166	0.0116
	-0.38	0.212	0.0313	0.0172	0.0123
	-0.31	0.282	0.0307	0.0177	0.0132
	-0.23	0.356	0.0302	0.0156	0.0128
	-0.15	0.436	0.0287	0.0143	0.0112
	-0.08	0.512	0.0292	0.0149	0.0109
	0	0.596	0.0246	0.0116	0.0087
	0.08	0.668	0.0197	0.0099	0.0066
	0.15	0.733	0.0164	0.0073	0.0048
	0.23	0.79	0.011	0.0054	0.0033
	0.31	0.832	0.0076	0.0038	0.0024
	0.38	0.868	0.0052	0.0028	0.0015
	0.46	0.893	0.0038	0.0021	0.001
	0.54	0.912	0.0028	0.0017	0.0007
	0.62	0.925	0.0024	0.0016	0.0005
	0.69	0.935	0.002	0.0014	0.0004
	0.77	0.944	0.0017	0.0012	0.0003
	0.85	0.948	0.0016	0.0012	0.0001
	0.92	0.949	0.0016	0.0013	0
	1	0.945	0.0017	0.0012	-0.0001
	1.08	0.938	0.0019	0.0013	-0.0003
	1.15	0.926	0.0022	0.0014	-0.0004
	1.23	0.912	0.0026	0.0014	-0.0005
	1.31	0.894	0.0031	0.0016	-0.0007
	1.38	0.871	0.0036	0.0017	-0.0008
	1.46	0.846	0.0041	0.0018	-0.001
	1.54	0.82	0.0042	0.0019	-0.0011
	1.62	0.791	0.0047	0.0021	-0.0013
	1.69	0.757	0.0053	0.0021	-0.0013
	1.77	0.701	0.007	0.002	-0.0012
	1.85	0.619			
	1.92	0.445			
	2				
