x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-103.000 	0.000 	284.000 	-2.223 		1.561 	1.972 		1.625 		-1.500 	0.043 		-0.167 		0.114 		-0.770 
-103.000 	0.000 	286.000 	-2.395 		1.483 	2.104 		1.779 		-0.947 	-1.962 		0.151 		-0.276 		-1.303 
-103.000 	0.000 	288.000 	-2.375 		1.395 	2.087 		1.780 		-0.571 	0.255 		-0.513 		-0.267 		-1.323 
-103.000 	0.000 	290.000 	-2.550 		1.367 	2.171 		1.872 		-0.477 	-0.156 		-0.482 		0.605 		-1.693 
-103.000 	0.000 	292.000 	-2.676 		1.374 	2.191 		1.835 		-0.022 	-1.654 		-0.310 		0.658 		-1.727 
-103.000 	0.000 	294.000 	-2.744 		1.429 	2.322 		1.889 		-0.006 	-3.422 		-0.343 		0.223 		-2.072 
-103.000 	0.000 	296.000 	-2.860 		1.523 	2.274 		1.821 		0.036 	-3.023 		0.705 		0.515 		-1.882 
-103.000 	0.000 	298.000 	-3.058 		1.497 	2.345 		1.869 		0.004 	-1.268 		-0.273 		0.844 		-1.650 
-103.000 	0.000 	300.000 	-3.047 		1.553 	2.339 		1.839 		0.082 	-1.928 		0.403 		0.298 		-1.194 
-103.000 	0.000 	302.000 	-3.225 		1.689 	2.399 		1.838 		-0.010 	-2.498 		-0.261 		0.961 		-1.006 
-103.000 	0.000 	304.000 	-3.301 		1.708 	2.439 		1.820 		-0.019 	-3.647 		0.214 		0.652 		-1.044 
-103.000 	0.000 	306.000 	-3.335 		1.768 	2.468 		1.838 		0.000 	-3.008 		-1.197 		0.190 		-1.209 
-103.000 	0.000 	308.000 	-3.364 		1.844 	2.506 		1.851 		-0.341 	-3.466 		-1.243 		-0.277 		-1.741 
-103.000 	0.000 	313.000 	-3.292 		1.969 	2.690 		2.021 		-0.518 	-4.378 		-2.330 		-1.118 		-0.518 
-103.000 	0.000 	318.000 	-1.928 		1.633 	3.478 		2.992 		-3.386 	20.594 		-26.665 		-17.355 		14.275 
-103.000 	0.000 	323.000 	4.005 		-0.062 	5.580 		4.790 		-13.395 	40.371 		-69.581 		-30.870 		33.584 
-103.000 	0.000 	333.000 	24.110 		-3.004 	6.590 		5.424 		-18.605 	-58.731 		50.461 		38.778 		-38.518 
-103.000 	0.000 	343.000 	40.015 		-3.238 	2.523 		2.085 		-1.772 	-10.184 		5.572 		4.680 		-3.358 
-103.000 	0.000 	353.000 	43.754 		-3.330 	1.165 		0.993 		-0.324 	-2.012 		0.707 		0.692 		-0.625 
-103.000 	0.000 	363.000 	44.271 		-3.294 	0.469 		0.438 		-0.005 	-0.067 		0.036 		0.004 		-0.008 
-103.000 	0.000 	373.000 	44.089 		-3.273 	0.410 		0.357 		0.003 	-0.064 		0.019 		-0.002 		-0.001 
-103.000 	0.000 	388.000 	43.833 		-3.107 	0.406 		0.323 		0.007 	-0.083 		0.013 		-0.002 		-0.001 
