x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-183.000 	0.000 	340.000 	35.575 		-1.126 	3.059 		1.879 		-2.410 	-6.897 		1.667 		2.903 		-1.691 
-183.000 	0.000 	341.000 	36.616 		-1.190 	2.888 		1.851 		-2.202 	-5.481 		1.097 		1.956 		-1.302 
-183.000 	0.000 	343.000 	38.244 		-1.295 	2.615 		1.771 		-1.920 	-5.798 		1.272 		1.943 		-1.262 
-183.000 	0.000 	348.000 	41.197 		-1.461 	2.043 		1.449 		-1.192 	-5.053 		1.520 		1.844 		-1.576 
-183.000 	0.000 	353.000 	43.251 		-1.572 	1.347 		1.019 		-0.474 	-3.551 		1.038 		1.253 		-1.038 
-183.000 	0.000 	358.000 	44.014 		-1.654 	0.619 		0.582 		-0.040 	-0.336 		0.252 		0.128 		-0.123 
-183.000 	0.000 	363.000 	44.006 		-1.716 	0.438 		0.375 		0.013 	-0.062 		0.023 		0.007 		-0.003 
-183.000 	0.000 	368.000 	43.908 		-1.779 	0.414 		0.327 		0.015 	-0.072 		0.010 		-0.002 		-0.002 
-183.000 	0.000 	373.000 	43.822 		-1.808 	0.417 		0.315 		0.015 	-0.078 		0.008 		-0.005 		-0.002 
-183.000 	0.000 	388.000 	43.588 		-1.844 	0.411 		0.307 		0.016 	-0.069 		0.009 		-0.003 		-0.001 
