x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-63.000 	0.000 	256.000 	1.490 		-1.222 	3.048 		2.415 		-4.639 	-28.761 		10.445 		20.035 		-15.917 
-63.000 	0.000 	258.000 	1.048 		-1.153 	3.203 		2.566 		-3.924 	-26.938 		8.795 		18.243 		-15.075 
-63.000 	0.000 	260.000 	0.573 		-1.048 	3.366 		2.664 		-3.428 	-25.742 		8.350 		15.646 		-14.824 
-63.000 	0.000 	262.000 	0.161 		-1.008 	3.493 		2.739 		-2.973 	-25.169 		9.137 		16.184 		-15.063 
-63.000 	0.000 	264.000 	-0.406 		-0.859 	3.555 		2.792 		-2.536 	-21.225 		7.723 		12.475 		-13.234 
-63.000 	0.000 	266.000 	-0.755 		-0.750 	3.560 		2.969 		-2.337 	-13.763 		6.718 		12.462 		-12.891 
-63.000 	0.000 	268.000 	-1.224 		-0.678 	3.585 		2.940 		-1.884 	-10.905 		4.792 		12.410 		-11.927 
-63.000 	0.000 	270.000 	-1.621 		-0.552 	3.540 		3.002 		-1.604 	-6.256 		7.547 		10.280 		-13.529 
-63.000 	0.000 	272.000 	-2.202 		-0.391 	3.424 		3.007 		-1.389 	0.813 		6.524 		6.186 		-9.753 
-63.000 	0.000 	274.000 	-2.636 		-0.215 	3.492 		3.080 		-1.099 	1.665 		4.311 		6.699 		-10.654 
-63.000 	0.000 	276.000 	-3.148 		0.035 	3.355 		3.016 		-1.047 	4.723 		4.013 		5.306 		-7.270 
-63.000 	0.000 	278.000 	-3.522 		0.099 	3.286 		2.968 		-0.436 	7.589 		2.574 		2.636 		-5.306 
-63.000 	0.000 	283.000 	-4.359 		0.541 	3.110 		2.915 		0.113 	8.352 		3.195 		0.733 		-2.849 
-63.000 	0.000 	288.000 	-4.936 		0.968 	3.088 		2.819 		0.367 	3.252 		-1.463 		-1.056 		-0.530 
-63.000 	0.000 	293.000 	-5.369 		1.431 	3.186 		2.809 		0.046 	6.543 		-3.412 		-2.503 		-0.034 
-63.000 	0.000 	298.000 	-5.301 		1.699 	3.277 		2.855 		-1.001 	7.948 		-7.474 		-6.584 		1.606 
-63.000 	0.000 	303.000 	-4.760 		1.817 	3.742 		3.175 		-1.874 	17.910 		-17.613 		-10.682 		6.096 
-63.000 	0.000 	313.000 	1.015 		0.543 	5.916 		4.797 		-11.926 	31.772 		-62.135 		-32.531 		29.321 
-63.000 	0.000 	323.000 	14.247 		-2.470 	6.679 		6.009 		-19.949 	-16.752 		-20.309 		3.602 		-8.902 
-63.000 	0.000 	333.000 	30.282 		-3.779 	6.333 		5.141 		-16.642 	-148.274 		79.098 		79.210 		-70.870 
-63.000 	0.000 	343.000 	41.452 		-4.091 	2.389 		2.248 		-1.810 	-12.282 		14.596 		8.404 		-7.988 
-63.000 	0.000 	353.000 	44.025 		-4.164 	0.980 		1.012 		-0.186 	-0.800 		0.803 		0.468 		-0.401 
-63.000 	0.000 	363.000 	44.144 		-4.121 	0.515 		0.539 		-0.003 	-0.085 		0.091 		0.013 		-0.009 
-63.000 	0.000 	373.000 	43.971 		-4.004 	0.437 		0.420 		0.004 	-0.076 		0.030 		-0.002 		-0.004 
-63.000 	0.000 	388.000 	43.734 		-3.712 	0.425 		0.361 		0.010 	-0.089 		0.016 		-0.004 		-0.003 
