x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-43.000 	0.000 	242.000 	2.692 		-1.898 	3.159 		2.312 		-5.604 	-41.848 		14.137 		25.919 		-18.789 
-43.000 	0.000 	243.000 	2.332 		-1.755 	3.515 		2.459 		-5.330 	-59.012 		12.872 		29.875 		-20.490 
-43.000 	0.000 	245.000 	2.059 		-1.567 	3.852 		2.597 		-5.616 	-72.247 		14.601 		36.273 		-24.788 
-43.000 	0.000 	247.000 	1.549 		-1.395 	3.918 		2.771 		-5.111 	-59.448 		12.691 		29.732 		-22.606 
-43.000 	0.000 	249.000 	1.149 		-1.178 	4.251 		2.918 		-6.035 	-71.890 		12.244 		34.355 		-23.500 
-43.000 	0.000 	251.000 	0.881 		-0.987 	4.307 		2.959 		-5.338 	-69.427 		13.039 		34.150 		-25.961 
-43.000 	0.000 	253.000 	0.330 		-0.837 	4.393 		3.099 		-5.586 	-59.946 		12.304 		30.890 		-26.138 
-43.000 	0.000 	255.000 	0.086 		-0.603 	4.466 		3.200 		-5.672 	-57.153 		12.301 		28.766 		-23.033 
-43.000 	0.000 	257.000 	-0.316 		-0.344 	4.448 		3.315 		-5.198 	-47.239 		11.146 		26.218 		-21.352 
-43.000 	0.000 	259.000 	-0.916 		-0.177 	4.530 		3.443 		-5.587 	-37.152 		8.434 		24.893 		-21.501 
-43.000 	0.000 	261.000 	-1.320 		-0.079 	4.478 		3.497 		-4.961 	-23.781 		7.212 		20.752 		-20.337 
-43.000 	0.000 	264.000 	-2.164 		0.262 	4.292 		3.573 		-4.653 	-11.777 		7.306 		16.957 		-18.266 
-43.000 	0.000 	268.000 	-3.058 		0.623 	4.137 		3.592 		-3.361 	5.460 		-2.803 		10.073 		-11.018 
-43.000 	0.000 	273.000 	-4.191 		0.941 	3.591 		3.757 		-1.623 	7.841 		-6.591 		7.752 		-8.903 
-43.000 	0.000 	278.000 	-5.018 		1.291 	3.347 		3.738 		-0.701 	8.483 		-10.762 		2.441 		-2.081 
-43.000 	0.000 	283.000 	-5.662 		1.492 	3.224 		3.642 		-0.044 	5.348 		-9.709 		-1.648 		-2.721 
-43.000 	0.000 	288.000 	-6.077 		1.735 	3.211 		3.598 		-0.623 	4.099 		-12.050 		-5.572 		-0.408 
-43.000 	0.000 	293.000 	-6.048 		1.665 	3.456 		3.735 		-1.137 	9.323 		-20.198 		-11.398 		9.468 
-43.000 	0.000 	303.000 	-3.830 		1.182 	4.892 		4.494 		-7.383 	63.115 		-50.926 		-41.587 		35.022 
-43.000 	0.000 	313.000 	5.330 		-1.214 	6.946 		5.853 		-20.245 	-36.925 		-52.904 		-6.010 		15.184 
-43.000 	0.000 	323.000 	17.991 		-3.425 	6.937 		6.203 		-21.529 	-35.782 		18.772 		20.003 		-27.330 
-43.000 	0.000 	333.000 	32.696 		-4.375 	6.054 		4.887 		-14.666 	-159.121 		82.471 		81.908 		-76.007 
-43.000 	0.000 	343.000 	41.687 		-4.519 	2.414 		2.294 		-1.922 	-17.360 		15.798 		10.874 		-9.410 
-43.000 	0.000 	353.000 	43.966 		-4.561 	1.004 		1.075 		-0.158 	-0.648 		1.065 		0.409 		-0.372 
-43.000 	0.000 	363.000 	44.073 		-4.505 	0.551 		0.587 		-0.003 	-0.069 		0.134 		0.019 		-0.010 
-43.000 	0.000 	373.000 	43.901 		-4.327 	0.456 		0.446 		0.004 	-0.084 		0.046 		0.001 		-0.002 
-43.000 	0.000 	388.000 	43.687 		-4.012 	0.419 		0.391 		0.007 	-0.083 		0.028 		-0.003 		-0.004 
