x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-243.000 	0.000 	340.000 	33.448 		-0.805 	3.108 		1.854 		-2.230 	-4.611 		0.768 		1.893 		-1.002 
-243.000 	0.000 	341.000 	34.582 		-0.845 	2.977 		1.890 		-2.286 	-5.446 		1.184 		2.314 		-1.394 
-243.000 	0.000 	343.000 	36.426 		-0.868 	2.701 		1.795 		-1.972 	-5.889 		1.420 		2.005 		-1.320 
-243.000 	0.000 	348.000 	39.839 		-0.992 	2.124 		1.477 		-1.243 	-5.617 		1.424 		2.125 		-1.548 
-243.000 	0.000 	353.000 	42.119 		-1.034 	1.387 		1.041 		-0.490 	-3.520 		1.061 		1.223 		-1.064 
-243.000 	0.000 	358.000 	43.058 		-1.067 	0.634 		0.579 		-0.040 	-0.345 		0.292 		0.150 		-0.160 
-243.000 	0.000 	363.000 	43.136 		-1.143 	0.451 		0.339 		0.015 	-0.064 		0.033 		0.002 		-0.003 
-243.000 	0.000 	368.000 	43.111 		-1.200 	0.439 		0.290 		0.016 	-0.078 		0.007 		0.001 		-0.002 
-243.000 	0.000 	373.000 	43.080 		-1.234 	0.429 		0.272 		0.018 	-0.077 		0.009 		-0.001 		-0.001 
-243.000 	0.000 	388.000 	42.999 		-1.268 	0.417 		0.272 		0.020 	-0.058 		0.004 		-0.002 		-0.001 
