x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-3.000 	0.000 	214.000 	-0.138 		0.583 	4.159 		3.279 		-8.490 	-96.001 		42.437 		63.004 		-44.173 
-3.000 	0.000 	216.000 	-1.530 		2.790 	4.809 		4.305 		-13.991 	-84.213 		58.396 		62.483 		-52.017 
-3.000 	0.000 	218.000 	-2.585 		4.942 	4.715 		4.677 		-14.533 	-32.395 		43.393 		27.744 		-27.726 
-3.000 	0.000 	219.000 	-2.799 		5.543 	4.670 		4.542 		-13.574 	-14.752 		27.986 		14.008 		-15.551 
-3.000 	0.000 	221.000 	-3.266 		6.713 	4.489 		4.479 		-11.800 	-0.970 		16.026 		1.775 		-5.087 
-3.000 	0.000 	223.000 	-3.484 		7.537 	4.399 		4.444 		-11.125 	8.456 		21.061 		-6.655 		-3.569 
-3.000 	0.000 	225.000 	-3.543 		8.040 	4.328 		4.368 		-10.011 	6.321 		21.609 		-10.432 		0.174 
-3.000 	0.000 	227.000 	-3.591 		8.394 	4.135 		4.158 		-8.140 	12.922 		13.015 		-13.219 		4.116 
-3.000 	0.000 	229.000 	-3.603 		8.596 	4.182 		4.188 		-8.149 	17.120 		15.591 		-16.497 		5.384 
-3.000 	0.000 	231.000 	-3.606 		8.789 	4.116 		4.176 		-7.113 	12.464 		23.263 		-14.310 		1.076 
-3.000 	0.000 	233.000 	-3.599 		8.957 	4.074 		4.102 		-6.424 	15.366 		17.691 		-16.572 		3.562 
-3.000 	0.000 	238.000 	-3.616 		9.146 	3.926 		4.115 		-4.251 	17.216 		17.243 		-18.174 		1.791 
-3.000 	0.000 	243.000 	-3.576 		9.234 	3.874 		3.976 		-3.208 	17.771 		16.279 		-13.838 		-1.078 
-3.000 	0.000 	248.000 	-3.546 		9.007 	3.734 		4.032 		-2.042 	13.943 		14.569 		-11.388 		-4.405 
-3.000 	0.000 	253.000 	-3.467 		8.689 	3.596 		3.891 		-0.882 	11.596 		11.540 		-8.025 		-4.293 
-3.000 	0.000 	258.000 	-3.454 		8.590 	3.378 		3.983 		-0.490 	12.079 		10.459 		-5.044 		-2.628 
-3.000 	0.000 	263.000 	-3.460 		8.182 	3.259 		4.026 		0.111 	13.530 		12.864 		-2.646 		-3.005 
-3.000 	0.000 	268.000 	-3.396 		7.779 	3.104 		3.927 		0.272 	6.984 		5.243 		0.122 		-2.247 
-3.000 	0.000 	273.000 	-3.316 		7.134 	2.914 		4.025 		0.328 	10.288 		4.077 		1.102 		0.981 
-3.000 	0.000 	283.000 	-2.860 		5.716 	2.916 		4.119 		-0.108 	8.485 		-22.735 		-5.890 		7.745 
-3.000 	0.000 	293.000 	-1.276 		3.407 	4.022 		4.972 		-6.273 	50.372 		-90.115 		-49.294 		51.552 
-3.000 	0.000 	303.000 	4.280 		-0.125 	6.240 		6.433 		-21.543 	78.043 		-124.316 		-56.138 		57.994 
-3.000 	0.000 	313.000 	13.290 		-2.911 	7.097 		6.685 		-23.971 	-5.380 		-14.145 		14.866 		-17.699 
-3.000 	0.000 	323.000 	24.605 		-4.457 	7.148 		6.103 		-22.650 	-117.047 		88.810 		77.384 		-73.647 
-3.000 	0.000 	333.000 	36.087 		-5.044 	5.307 		4.423 		-11.644 	-168.165 		88.199 		84.957 		-76.234 
-3.000 	0.000 	343.000 	42.271 		-5.183 	2.158 		2.251 		-1.516 	-11.036 		17.757 		7.972 		-8.513 
-3.000 	0.000 	353.000 	43.805 		-5.210 	1.007 		1.157 		-0.085 	-0.313 		1.526 		0.349 		-0.190 
-3.000 	0.000 	363.000 	43.857 		-5.089 	0.639 		0.695 		0.011 	-0.089 		0.236 		0.061 		0.003 
-3.000 	0.000 	373.000 	43.744 		-4.895 	0.497 		0.503 		0.005 	-0.074 		0.080 		0.007 		0.004 
-3.000 	0.000 	388.000 	43.528 		-4.600 	0.437 		0.402 		0.012 	-0.072 		0.036 		0.000 		0.004 
