x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-223.000 	0.000 	340.000 	33.765 		-0.900 	3.124 		1.861 		-2.313 	-5.671 		1.042 		2.228 		-1.274 
-223.000 	0.000 	341.000 	34.818 		-0.927 	2.959 		1.863 		-2.321 	-6.010 		0.971 		2.398 		-1.097 
-223.000 	0.000 	343.000 	36.692 		-0.965 	2.661 		1.793 		-1.986 	-6.074 		1.573 		2.252 		-1.588 
-223.000 	0.000 	348.000 	40.098 		-1.042 	2.112 		1.474 		-1.265 	-5.608 		1.605 		2.040 		-1.779 
-223.000 	0.000 	353.000 	42.389 		-1.090 	1.371 		1.029 		-0.495 	-3.442 		1.011 		1.263 		-1.048 
-223.000 	0.000 	358.000 	43.311 		-1.164 	0.642 		0.572 		-0.047 	-0.414 		0.276 		0.184 		-0.161 
-223.000 	0.000 	363.000 	43.373 		-1.238 	0.460 		0.337 		0.019 	-0.086 		0.019 		0.002 		0.000 
-223.000 	0.000 	368.000 	43.352 		-1.299 	0.433 		0.297 		0.019 	-0.066 		0.008 		0.004 		0.003 
-223.000 	0.000 	373.000 	43.321 		-1.335 	0.428 		0.285 		0.017 	-0.082 		0.004 		-0.001 		0.000 
-223.000 	0.000 	388.000 	43.190 		-1.395 	0.418 		0.275 		0.019 	-0.069 		0.006 		-0.003 		0.000 
