y/H,N,U/Uc,V/Uc,W/Uc
1.00E+00,7.46E-01,417,-4.55E-02,4.90E-02,-1.15E-02
1.00E+00,7.70E-01,406,-3.83E-02,4.62E-02,-2.14E-02
1.00E+00,7.95E-01,463,-2.16E-02,4.15E-02,-2.18E-02
1.00E+00,8.19E-01,418,-1.81E-02,3.78E-02,-2.50E-02
1.00E+00,8.44E-01,397,6.00E-03,3.04E-02,-1.35E-02
1.00E+00,8.68E-01,502,4.23E-02,1.19E-02,-2.03E-02
1.00E+00,8.92E-01,462,7.90E-02,2.24E-02,-1.82E-02
1.00E+00,9.17E-01,427,1.20E-01,6.67E-03,-1.78E-02
1.00E+00,9.42E-01,394,1.83E-01,-3.20E-03,-1.62E-02
1.00E+00,9.66E-01,437,2.60E-01,-1.79E-02,-1.49E-02
1.00E+00,9.91E-01,461,3.24E-01,-1.15E-02,-2.57E-02
1.00E+00,1.01E+00,544,4.20E-01,-2.39E-02,-1.75E-02
1.00E+00,1.04E+00,526,5.20E-01,-2.56E-02,-1.43E-02
1.00E+00,1.06E+00,609,6.14E-01,-3.51E-02,-1.39E-02
1.00E+00,1.09E+00,750,6.71E-01,-2.77E-02,-1.80E-02
1.00E+00,1.11E+00,805,7.13E-01,-1.96E-02,-1.54E-02
1.00E+00,1.14E+00,935,7.48E-01,-1.41E-02,-1.62E-02
1.00E+00,1.16E+00,958,7.70E-01,-1.52E-02,-1.42E-02
1.00E+00,1.19E+00,1000,7.93E-01,-1.15E-02,-1.78E-02
1.00E+00,1.21E+00,1009,8.10E-01,-7.55E-03,-2.08E-02
1.00E+00,1.24E+00,1001,8.22E-01,-8.75E-03,-1.77E-02
1.00E+00,1.26E+00,976,8.31E-01,-5.44E-03,-1.77E-02
1.00E+00,1.28E+00,951,8.49E-01,-8.37E-03,-1.92E-02
1.00E+00,1.31E+00,1039,8.57E-01,-8.57E-03,-1.63E-02
1.00E+00,1.33E+00,1063,8.68E-01,-1.00E-02,-1.56E-02
1.00E+00,1.36E+00,1009,8.75E-01,-9.43E-03,-1.48E-02
1.00E+00,1.38E+00,1010,8.82E-01,-9.51E-03,-1.72E-02
1.00E+00,1.41E+00,980,8.94E-01,-7.93E-03,-1.47E-02
1.00E+00,1.43E+00,1018,9.00E-01,-7.52E-03,-1.51E-02
1.00E+00,1.45E+00,1012,9.07E-01,-8.88E-03,-1.45E-02
1.00E+00,1.48E+00,978,9.11E-01,-5.82E-03,-1.95E-02
1.00E+00,1.50E+00,1028,9.23E-01,-8.31E-03,-1.47E-02
1.00E+00,1.53E+00,1022,9.28E-01,-7.16E-03,-1.35E-02
1.00E+00,1.55E+00,965,9.39E-01,-9.80E-03,-1.38E-02
1.00E+00,1.58E+00,933,9.41E-01,-6.44E-03,-1.45E-02
1.00E+00,1.60E+00,938,9.49E-01,-5.20E-03,-1.77E-02
1.00E+00,1.63E+00,968,9.54E-01,-7.71E-03,-1.91E-02
1.00E+00,1.65E+00,873,9.58E-01,-7.38E-03,-1.62E-02
1.00E+00,1.67E+00,941,9.62E-01,-8.51E-03,-1.82E-02
1.00E+00,1.70E+00,982,9.70E-01,-6.48E-03,-1.57E-02
1.00E+00,1.72E+00,968,9.70E-01,-6.94E-03,-2.01E-02
1.00E+00,1.75E+00,934,9.78E-01,-6.91E-03,-2.06E-02
1.00E+00,1.77E+00,891,9.82E-01,-5.28E-03,-2.09E-02
1.00E+00,1.80E+00,870,9.87E-01,-8.93E-03,-1.75E-02
1.00E+00,1.82E+00,897,9.90E-01,-1.12E-02,-1.67E-02
1.00E+00,1.85E+00,853,9.92E-01,-8.48E-03,-1.90E-02
1.00E+00,1.87E+00,916,9.92E-01,-8.62E-03,-2.03E-02
1.00E+00,1.89E+00,894,9.98E-01,-8.86E-03,-1.80E-02
1.00E+00,1.92E+00,858,9.98E-01,-9.17E-03,-2.06E-02
1.00E+00,1.94E+00,845,1.00E+00,-5.42E-03,-2.03E-02
1.00E+00,1.97E+00,809,9.98E-01,-8.70E-03,-1.83E-02
1.00E+00,1.99E+00,838,9.96E-01,-4.97E-03,-1.99E-02
1.00E+00,2.02E+00,756,9.97E-01,-8.56E-03,-1.84E-02
1.00E+00,2.04E+00,777,9.99E-01,-6.03E-03,-1.94E-02
1.00E+00,2.07E+00,785,9.95E-01,-6.80E-03,-2.12E-02
1.00E+00,2.09E+00,768,9.94E-01,-6.21E-03,-1.99E-02
1.00E+00,2.11E+00,814,9.89E-01,-6.57E-03,-1.95E-02
1.00E+00,2.14E+00,842,9.88E-01,-5.60E-03,-2.00E-02
1.00E+00,2.16E+00,789,9.84E-01,-5.06E-03,-1.83E-02
1.00E+00,2.19E+00,762,9.79E-01,-9.91E-03,-1.79E-02
1.00E+00,2.21E+00,797,9.76E-01,-5.36E-03,-1.77E-02
1.00E+00,2.24E+00,672,9.69E-01,-7.56E-03,-2.14E-02
1.00E+00,2.26E+00,747,9.63E-01,-7.35E-03,-1.71E-02
1.00E+00,2.29E+00,646,9.58E-01,-6.02E-03,-1.94E-02
1.00E+00,2.31E+00,623,9.57E-01,-2.80E-03,-2.10E-02
1.00E+00,2.33E+00,609,9.47E-01,-6.42E-03,-1.91E-02
1.00E+00,2.36E+00,603,9.40E-01,-7.96E-03,-1.73E-02
1.00E+00,2.38E+00,485,9.38E-01,-6.05E-03,-2.06E-02
1.00E+00,2.41E+00,494,9.29E-01,-4.40E-03,-1.79E-02
1.00E+00,2.43E+00,480,9.21E-01,-2.47E-03,-2.02E-02
1.00E+00,2.46E+00,391,9.15E-01,-3.08E-03,-1.56E-02
1.00E+00,2.48E+00,349,9.06E-01,-3.34E-03,-2.00E-02
1.00E+00,2.51E+00,270,8.93E-01,-9.33E-03,-2.03E-02
1.00E+00,2.53E+00,240,8.99E-01,-4.48E-03,-1.80E-02
1.00E+00,2.55E+00,261,8.86E-01,-8.88E-03,-1.79E-02
1.00E+00,2.58E+00,265,8.92E-01,-5.12E-03,-1.66E-02
1.00E+00,2.60E+00,323,8.83E-01,-3.49E-03,-2.24E-02
1.00E+00,2.63E+00,348,8.80E-01,-1.35E-03,-2.17E-02
1.00E+00,2.65E+00,384,8.58E-01,-7.25E-03,-2.20E-02
1.00E+00,2.68E+00,521,8.48E-01,-2.61E-03,-1.74E-02
1.00E+00,2.70E+00,570,8.38E-01,-6.80E-03,-1.73E-02
1.00E+00,2.73E+00,576,8.33E-01,-6.55E-04,-1.94E-02
1.00E+00,2.75E+00,630,8.10E-01,1.02E-03,-1.77E-02
1.00E+00,2.77E+00,671,7.96E-01,-2.61E-03,-2.35E-02
1.00E+00,2.80E+00,614,7.79E-01,-3.57E-03,-2.39E-02
1.00E+00,2.82E+00,597,7.62E-01,-4.41E-03,-2.70E-02
1.00E+00,2.85E+00,570,7.46E-01,-3.82E-03,-2.08E-02
1.00E+00,2.87E+00,445,7.32E-01,-2.08E-03,-1.59E-02
1.00E+00,2.90E+00,340,7.16E-01,8.94E-04,-3.20E-02
1.00E+00,2.92E+00,155,6.45E-01,2.94E-03,-1.69E-02
1.00E+00,2.95E+00,254,2.68E-01,-3.56E-03,-1.28E-02
1.00E+00,2.96E+00,100,1.99E-01,-1.66E-03,-5.83E-03

x/H,y/H,N,U/Uc,V/Uc,W/Uc
2.02E+00,2.12E-02,25,-2.08E-03,3.10E-03,-7.32E-03
2.02E+00,3.73E-02,230,-6.63E-03,9.43E-04,-8.14E-03
2.02E+00,6.16E-02,209,-2.33E-02,-6.31E-04,-2.46E-03
2.02E+00,8.61E-02,232,-4.88E-02,1.02E-02,-2.64E-03
2.02E+00,1.10E-01,242,-8.27E-02,1.13E-02,1.98E-03
2.02E+00,1.34E-01,231,-9.90E-02,2.30E-02,-1.77E-02
2.02E+00,1.59E-01,227,-9.95E-02,2.29E-02,-1.62E-02
2.02E+00,1.83E-01,205,-9.83E-02,2.52E-02,-2.61E-02
2.02E+00,2.08E-01,242,-9.93E-02,2.77E-02,-1.93E-02
2.02E+00,2.32E-01,238,-1.01E-01,2.94E-02,-1.39E-02
2.02E+00,2.57E-01,219,-1.11E-01,3.39E-02,-2.01E-02
2.02E+00,2.80E-01,226,-1.10E-01,3.89E-02,-2.52E-02
2.02E+00,3.06E-01,244,-1.28E-01,4.67E-02,-2.11E-02
2.02E+00,3.30E-01,224,-1.27E-01,4.54E-02,-2.62E-02
2.02E+00,3.55E-01,214,-1.22E-01,4.62E-02,-1.49E-02
2.02E+00,3.79E-01,240,-1.13E-01,4.93E-02,-2.08E-02
2.02E+00,4.03E-01,211,-9.73E-02,4.55E-02,-3.06E-02
2.02E+00,4.28E-01,249,-9.54E-02,4.33E-02,-2.01E-02
2.02E+00,4.53E-01,253,-8.47E-02,5.03E-02,-2.55E-02
2.02E+00,4.77E-01,221,-8.02E-02,5.12E-02,-2.06E-02
2.02E+00,5.02E-01,226,-4.92E-02,4.52E-02,-1.87E-02
2.02E+00,5.26E-01,182,-5.87E-02,4.39E-02,-2.28E-02
2.02E+00,5.51E-01,238,-5.22E-02,3.52E-02,-9.63E-03
2.02E+00,5.74E-01,213,-3.79E-02,3.39E-02,-2.91E-02
2.02E+00,6.00E-01,206,-2.61E-02,2.85E-02,-2.53E-02
2.02E+00,6.22E-01,192,1.22E-02,3.52E-02,-1.01E-02
2.02E+00,6.48E-01,194,8.24E-03,3.33E-02,-1.74E-02
2.02E+00,6.73E-01,196,3.97E-02,3.34E-02,-2.60E-02
2.02E+00,6.97E-01,244,6.07E-02,2.81E-02,-1.98E-02
2.02E+00,7.21E-01,214,7.33E-02,3.33E-02,-1.47E-02
2.02E+00,7.46E-01,197,6.98E-02,2.22E-02,-2.80E-02
2.02E+00,7.70E-01,211,1.23E-01,9.58E-03,-3.44E-02
2.02E+00,7.95E-01,221,1.47E-01,3.49E-03,-5.41E-03
2.02E+00,8.18E-01,206,1.61E-01,1.69E-02,-1.75E-02
2.02E+00,8.44E-01,186,2.16E-01,-9.88E-03,-4.38E-03
2.02E+00,8.68E-01,225,2.23E-01,-4.12E-03,-1.83E-02
2.02E+00,8.93E-01,243,2.53E-01,-5.50E-03,-3.31E-02
2.02E+00,9.17E-01,194,3.11E-01,4.77E-03,-1.17E-02
2.02E+00,9.43E-01,204,3.53E-01,-1.15E-02,-1.60E-02
2.02E+00,9.66E-01,206,4.09E-01,-1.90E-02,-2.58E-02
2.02E+00,9.91E-01,210,4.52E-01,-8.51E-03,-2.31E-02
2.02E+00,1.01E+00,225,5.00E-01,-3.66E-02,-1.51E-02
2.02E+00,1.04E+00,200,5.43E-01,-1.71E-02,-4.97E-02
2.02E+00,1.06E+00,240,5.47E-01,-2.69E-02,-9.57E-03
2.02E+00,1.09E+00,295,6.51E-01,-5.11E-02,-1.27E-02
2.02E+00,1.11E+00,269,6.73E-01,-4.63E-02,-2.24E-02
2.02E+00,1.14E+00,328,7.08E-01,-3.64E-02,-1.03E-02
2.02E+00,1.16E+00,336,7.37E-01,-3.64E-02,-1.79E-02
2.02E+00,1.19E+00,329,7.67E-01,-3.02E-02,-2.11E-02
2.02E+00,1.21E+00,376,7.88E-01,-3.01E-02,-1.98E-02
2.02E+00,1.23E+00,440,8.09E-01,-2.46E-02,-9.60E-03
2.02E+00,1.26E+00,439,8.31E-01,-2.09E-02,-1.96E-02
2.02E+00,1.28E+00,439,8.50E-01,-2.30E-02,-1.50E-02
2.02E+00,1.31E+00,545,8.56E-01,-2.36E-02,-1.32E-02
2.02E+00,1.33E+00,506,8.67E-01,-1.94E-02,-1.43E-02
2.02E+00,1.36E+00,526,8.77E-01,-1.05E-02,-1.33E-02
2.02E+00,1.38E+00,524,8.90E-01,-1.72E-02,-1.66E-02
2.02E+00,1.41E+00,494,8.97E-01,-1.51E-02,-1.84E-02
2.02E+00,1.43E+00,533,9.01E-01,-1.32E-02,-1.26E-02
2.02E+00,1.46E+00,542,9.12E-01,-1.42E-02,-1.96E-02
2.02E+00,1.48E+00,525,9.16E-01,-1.20E-02,-1.43E-02
2.02E+00,1.50E+00,563,9.26E-01,-1.19E-02,-1.62E-02
2.02E+00,1.53E+00,566,9.25E-01,-1.34E-02,-1.99E-02
2.02E+00,1.55E+00,562,9.34E-01,-1.06E-02,-1.59E-02
2.02E+00,1.58E+00,580,9.44E-01,-1.03E-02,-1.78E-02
2.02E+00,1.60E+00,604,9.44E-01,-1.10E-02,-2.15E-02
2.02E+00,1.63E+00,581,9.49E-01,-1.33E-02,-1.52E-02
2.02E+00,1.65E+00,604,9.60E-01,-1.37E-02,-1.58E-02
2.02E+00,1.67E+00,586,9.60E-01,-1.40E-02,-1.78E-02
2.02E+00,1.70E+00,595,9.63E-01,-1.31E-02,-1.90E-02
2.02E+00,1.72E+00,598,9.69E-01,-1.21E-02,-2.03E-02
2.02E+00,1.75E+00,577,9.78E-01,-1.27E-02,-1.90E-02
2.02E+00,1.77E+00,673,9.74E-01,-9.12E-03,-1.87E-02
2.02E+00,1.80E+00,645,9.80E-01,-9.96E-03,-1.82E-02
2.02E+00,1.82E+00,628,9.84E-01,-1.13E-02,-1.93E-02
2.02E+00,1.85E+00,630,9.85E-01,-1.25E-02,-1.84E-02
2.02E+00,1.87E+00,643,9.88E-01,-1.14E-02,-1.98E-02
2.02E+00,1.90E+00,636,9.86E-01,-1.10E-02,-1.92E-02
2.02E+00,1.92E+00,642,9.90E-01,-9.04E-03,-1.91E-02
2.02E+00,1.94E+00,652,9.91E-01,-1.07E-02,-1.72E-02
2.02E+00,1.97E+00,652,9.90E-01,-9.40E-03,-1.96E-02
2.02E+00,1.99E+00,668,9.91E-01,-1.17E-02,-1.75E-02
2.02E+00,2.02E+00,725,9.89E-01,-1.23E-02,-2.12E-02
2.02E+00,2.04E+00,673,9.91E-01,-9.54E-03,-1.96E-02
2.02E+00,2.07E+00,663,9.86E-01,-1.07E-02,-1.84E-02
2.02E+00,2.09E+00,641,9.82E-01,-1.04E-02,-1.81E-02
2.02E+00,2.11E+00,623,9.82E-01,-1.24E-02,-1.65E-02
2.02E+00,2.14E+00,644,9.79E-01,-9.11E-03,-1.96E-02
2.02E+00,2.16E+00,607,9.75E-01,-1.17E-02,-2.05E-02
2.02E+00,2.19E+00,601,9.72E-01,-8.72E-03,-1.60E-02
2.02E+00,2.21E+00,610,9.66E-01,-1.06E-02,-1.93E-02
2.02E+00,2.24E+00,594,9.59E-01,-8.19E-03,-1.80E-02
2.02E+00,2.26E+00,549,9.58E-01,-1.02E-02,-2.00E-02
2.02E+00,2.29E+00,545,9.52E-01,-8.27E-03,-1.96E-02
2.02E+00,2.31E+00,549,9.48E-01,-7.03E-03,-1.77E-02
2.02E+00,2.34E+00,564,9.43E-01,-8.49E-03,-2.20E-02
2.02E+00,2.36E+00,526,9.36E-01,-5.51E-03,-1.99E-02
2.02E+00,2.38E+00,499,9.27E-01,-1.05E-02,-1.76E-02
2.02E+00,2.41E+00,506,9.20E-01,-5.84E-03,-1.91E-02
2.02E+00,2.43E+00,493,9.16E-01,-1.06E-02,-2.03E-02
2.02E+00,2.46E+00,447,9.09E-01,-6.66E-03,-1.47E-02
2.02E+00,2.48E+00,423,8.98E-01,-6.89E-03,-1.78E-02
2.02E+00,2.51E+00,447,8.93E-01,-4.18E-03,-1.59E-02
2.02E+00,2.53E+00,431,8.79E-01,-1.27E-02,-1.67E-02
2.02E+00,2.55E+00,433,8.71E-01,-7.21E-03,-1.72E-02
2.02E+00,2.58E+00,463,8.60E-01,-7.48E-03,-1.52E-02
2.02E+00,2.60E+00,453,8.55E-01,-6.22E-03,-2.09E-02
2.02E+00,2.63E+00,448,8.56E-01,-5.60E-03,-1.46E-02
2.02E+00,2.65E+00,468,8.41E-01,-3.72E-03,-1.58E-02
2.02E+00,2.68E+00,478,8.28E-01,-6.53E-03,-2.04E-02
2.02E+00,2.70E+00,462,8.13E-01,-8.49E-03,-1.65E-02
2.02E+00,2.73E+00,460,8.06E-01,-1.13E-03,-2.27E-02
2.02E+00,2.75E+00,481,7.90E-01,-4.72E-03,-1.87E-02
2.02E+00,2.77E+00,477,7.84E-01,-3.68E-03,-1.72E-02
2.02E+00,2.80E+00,489,7.59E-01,-4.49E-03,-1.44E-02
2.02E+00,2.82E+00,519,7.26E-01,-5.77E-03,-1.81E-02
2.02E+00,2.85E+00,532,7.13E-01,-2.67E-03,-1.67E-02
2.02E+00,2.87E+00,523,6.74E-01,-6.07E-04,-1.58E-02
2.02E+00,2.90E+00,488,6.30E-01,-3.47E-03,-1.07E-02
2.02E+00,2.92E+00,524,5.55E-01,-1.75E-04,-1.47E-02
2.02E+00,2.95E+00,501,3.45E-01,-5.57E-04,-1.22E-02
2.02E+00,2.96E+00,160,2.04E-01,-7.60E-04,-6.48E-03

x/H,y/H,N,U/Uc,V/Uc,W/Uc
3.00E+00,2.10E-02,1,-6.48E-02,-1.05E-03,7.44E-02
3.00E+00,4.10E-02,13,-9.66E-02,6.40E-03,2.88E-02
3.00E+00,6.14E-02,29,-1.65E-01,3.24E-03,5.38E-02
3.00E+00,8.62E-02,27,-1.73E-01,1.53E-02,-5.05E-03
3.00E+00,1.11E-01,40,-1.78E-01,1.14E-02,1.80E-02
3.00E+00,1.35E-01,26,-1.98E-01,1.44E-02,-9.67E-03
3.00E+00,1.61E-01,21,-2.22E-01,9.67E-03,-3.80E-02
3.00E+00,1.84E-01,14,-2.12E-01,2.54E-02,-3.20E-02
3.00E+00,2.10E-01,35,-1.69E-01,5.82E-03,1.69E-02
3.00E+00,2.29E-01,20,-1.99E-01,5.49E-02,-2.63E-02
3.00E+00,2.57E-01,27,-2.14E-01,5.77E-02,-2.41E-02
3.00E+00,2.80E-01,31,-1.37E-01,2.21E-02,-2.44E-02
3.00E+00,3.06E-01,9,-1.56E-01,1.00E-01,-6.61E-03
3.00E+00,3.29E-01,39,-1.20E-01,1.01E-02,-2.44E-03
3.00E+00,3.52E-01,24,-9.11E-02,-1.71E-02,4.08E-02
3.00E+00,3.78E-01,46,-8.17E-02,9.21E-03,1.61E-02
3.00E+00,4.05E-01,55,-4.99E-02,-3.30E-02,-2.01E-02
3.00E+00,4.28E-01,72,-3.71E-02,-6.18E-03,-2.57E-02
3.00E+00,4.52E-01,66,-2.85E-02,1.59E-02,2.32E-02
3.00E+00,4.76E-01,47,-6.61E-02,1.77E-02,-1.77E-02
3.00E+00,5.03E-01,53,2.56E-03,-2.73E-02,-3.28E-02
3.00E+00,5.26E-01,63,2.15E-02,-7.76E-03,-3.09E-02
3.00E+00,5.50E-01,55,4.94E-02,1.54E-03,-3.79E-02
3.00E+00,5.75E-01,38,6.33E-02,-2.28E-02,-6.42E-03
3.00E+00,6.00E-01,52,8.19E-02,-9.85E-03,-2.40E-02
3.00E+00,6.24E-01,71,1.18E-01,-2.08E-02,-1.87E-02
3.00E+00,6.49E-01,69,7.57E-02,-3.07E-02,-2.52E-02
3.00E+00,6.72E-01,71,1.57E-01,-1.39E-02,-3.37E-03
3.00E+00,6.97E-01,85,1.41E-01,-1.49E-02,-1.94E-02
3.00E+00,7.21E-01,66,1.93E-01,-4.25E-02,-3.00E-02
3.00E+00,7.46E-01,38,1.74E-01,-2.14E-02,-3.66E-02
3.00E+00,7.69E-01,84,2.32E-01,-3.36E-02,-4.18E-02
3.00E+00,7.96E-01,99,2.53E-01,-8.78E-03,-7.27E-03
3.00E+00,8.19E-01,86,3.22E-01,-3.30E-02,-2.78E-02
3.00E+00,8.43E-01,93,3.15E-01,-2.60E-02,-3.65E-02
3.00E+00,8.68E-01,93,3.73E-01,-5.29E-03,-4.18E-02
3.00E+00,8.93E-01,113,3.78E-01,-4.17E-02,-4.79E-03
3.00E+00,9.17E-01,123,4.25E-01,-4.94E-02,1.07E-02
3.00E+00,9.42E-01,147,4.34E-01,-4.86E-02,-2.07E-02
3.00E+00,9.65E-01,126,4.49E-01,-4.21E-02,-3.33E-02
3.00E+00,9.91E-01,109,5.47E-01,-6.01E-02,-1.43E-02
3.00E+00,1.01E+00,181,5.25E-01,-3.58E-02,-1.42E-02
3.00E+00,1.04E+00,179,5.48E-01,-3.51E-02,-1.53E-02
3.00E+00,1.06E+00,206,5.90E-01,-3.94E-02,8.93E-03
3.00E+00,1.09E+00,187,6.16E-01,-4.55E-02,-1.64E-03
3.00E+00,1.11E+00,224,6.66E-01,-4.76E-02,-1.67E-02
3.00E+00,1.14E+00,226,7.05E-01,-4.14E-02,-2.22E-03
3.00E+00,1.16E+00,254,7.23E-01,-5.03E-02,-2.70E-03
3.00E+00,1.19E+00,257,7.37E-01,-4.21E-02,-4.19E-03
3.00E+00,1.21E+00,261,7.66E-01,-3.96E-02,-1.92E-02
3.00E+00,1.24E+00,298,7.91E-01,-3.59E-02,-1.47E-02
3.00E+00,1.26E+00,298,7.95E-01,-2.97E-02,-2.65E-02
3.00E+00,1.28E+00,354,8.18E-01,-3.68E-02,-1.41E-02
3.00E+00,1.31E+00,326,8.26E-01,-3.67E-02,-1.51E-02
3.00E+00,1.33E+00,325,8.54E-01,-3.13E-02,-1.80E-02
3.00E+00,1.36E+00,390,8.67E-01,-3.75E-02,-1.66E-02
3.00E+00,1.38E+00,419,8.78E-01,-3.72E-02,-1.64E-02
3.00E+00,1.41E+00,419,8.90E-01,-3.45E-02,-1.65E-02
3.00E+00,1.43E+00,464,8.93E-01,-3.07E-02,-1.27E-02
3.00E+00,1.45E+00,476,9.04E-01,-3.02E-02,-2.09E-02
3.00E+00,1.48E+00,470,9.08E-01,-2.94E-02,-1.41E-02
3.00E+00,1.50E+00,464,9.13E-01,-2.80E-02,-1.58E-02
3.00E+00,1.53E+00,520,9.23E-01,-3.16E-02,-1.78E-02
3.00E+00,1.55E+00,497,9.36E-01,-2.97E-02,-2.17E-02
3.00E+00,1.58E+00,504,9.35E-01,-2.92E-02,-1.61E-02
3.00E+00,1.60E+00,600,9.39E-01,-2.45E-02,-1.70E-02
3.00E+00,1.63E+00,503,9.48E-01,-2.96E-02,-1.84E-02
3.00E+00,1.65E+00,584,9.49E-01,-2.84E-02,-1.84E-02
3.00E+00,1.67E+00,581,9.52E-01,-2.69E-02,-1.78E-02
3.00E+00,1.70E+00,589,9.58E-01,-2.87E-02,-1.82E-02
3.00E+00,1.72E+00,602,9.60E-01,-2.80E-02,-1.94E-02
3.00E+00,1.75E+00,607,9.65E-01,-2.56E-02,-1.87E-02
3.00E+00,1.77E+00,617,9.71E-01,-2.40E-02,-1.78E-02
3.00E+00,1.80E+00,621,9.73E-01,-2.45E-02,-1.66E-02
3.00E+00,1.82E+00,668,9.72E-01,-2.52E-02,-2.00E-02
3.00E+00,1.85E+00,750,9.73E-01,-2.47E-02,-1.71E-02
3.00E+00,1.87E+00,706,9.77E-01,-2.40E-02,-1.90E-02
3.00E+00,1.89E+00,736,9.76E-01,-2.42E-02,-1.76E-02
3.00E+00,1.92E+00,717,9.79E-01,-2.39E-02,-1.97E-02
3.00E+00,1.94E+00,707,9.76E-01,-2.60E-02,-1.61E-02
3.00E+00,1.97E+00,753,9.79E-01,-2.28E-02,-1.98E-02
3.00E+00,1.99E+00,716,9.76E-01,-2.40E-02,-1.96E-02
3.00E+00,2.02E+00,753,9.76E-01,-2.56E-02,-2.04E-02
3.00E+00,2.04E+00,766,9.73E-01,-2.21E-02,-1.81E-02
3.00E+00,2.07E+00,724,9.73E-01,-2.29E-02,-1.92E-02
3.00E+00,2.09E+00,740,9.69E-01,-2.10E-02,-1.94E-02
3.00E+00,2.12E+00,785,9.62E-01,-1.93E-02,-1.70E-02
3.00E+00,2.14E+00,768,9.64E-01,-1.95E-02,-1.77E-02
3.00E+00,2.16E+00,782,9.59E-01,-2.09E-02,-1.81E-02
3.00E+00,2.19E+00,733,9.55E-01,-2.06E-02,-1.92E-02
3.00E+00,2.21E+00,724,9.46E-01,-1.97E-02,-1.92E-02
3.00E+00,2.24E+00,719,9.41E-01,-2.05E-02,-1.87E-02
3.00E+00,2.26E+00,725,9.40E-01,-1.88E-02,-2.02E-02
3.00E+00,2.29E+00,698,9.32E-01,-2.00E-02,-1.85E-02
3.00E+00,2.31E+00,697,9.24E-01,-1.56E-02,-1.67E-02
3.00E+00,2.34E+00,660,9.19E-01,-1.98E-02,-1.91E-02
3.00E+00,2.36E+00,652,9.14E-01,-1.46E-02,-2.19E-02
3.00E+00,2.38E+00,654,9.09E-01,-1.90E-02,-1.67E-02
3.00E+00,2.41E+00,691,9.03E-01,-1.64E-02,-1.81E-02
3.00E+00,2.43E+00,611,8.93E-01,-1.46E-02,-1.71E-02
3.00E+00,2.46E+00,626,8.84E-01,-1.54E-02,-2.17E-02
3.00E+00,2.48E+00,623,8.79E-01,-1.64E-02,-1.83E-02
3.00E+00,2.51E+00,594,8.70E-01,-1.40E-02,-1.65E-02
3.00E+00,2.53E+00,598,8.64E-01,-1.23E-02,-1.45E-02
3.00E+00,2.55E+00,593,8.51E-01,-1.36E-02,-1.77E-02
3.00E+00,2.58E+00,592,8.40E-01,-1.24E-02,-1.55E-02
3.00E+00,2.60E+00,587,8.37E-01,-1.15E-02,-1.90E-02
3.00E+00,2.63E+00,601,8.23E-01,-1.16E-02,-1.39E-02
3.00E+00,2.65E+00,534,8.15E-01,-1.13E-02,-1.94E-02
3.00E+00,2.68E+00,576,7.99E-01,-1.40E-02,-1.89E-02
3.00E+00,2.70E+00,572,7.81E-01,-1.14E-02,-1.71E-02
3.00E+00,2.73E+00,618,7.74E-01,-1.42E-02,-1.98E-02
3.00E+00,2.75E+00,558,7.59E-01,-1.12E-02,-1.56E-02
3.00E+00,2.78E+00,603,7.44E-01,-1.05E-02,-1.94E-02
3.00E+00,2.80E+00,584,7.31E-01,-6.54E-03,-1.02E-02
3.00E+00,2.82E+00,600,7.21E-01,-5.48E-03,-1.50E-02
3.00E+00,2.85E+00,611,6.86E-01,-5.44E-03,-1.57E-02
3.00E+00,2.87E+00,564,6.61E-01,-4.97E-03,-1.80E-02
3.00E+00,2.90E+00,560,6.02E-01,-5.11E-03,-1.30E-02
3.00E+00,2.92E+00,523,5.11E-01,-1.29E-03,-1.17E-02
3.00E+00,2.95E+00,538,3.46E-01,5.29E-05,-1.25E-02
3.00E+00,2.96E+00,148,1.87E-01,-1.28E-03,-8.13E-03

x/H,y/H,N,U/Uc,V/Uc,W/Uc
4.02E+00,2.03E-02,27,-4.35E-02,1.51E-04,-3.79E-03
4.02E+00,3.83E-02,197,-9.45E-02,6.76E-04,-6.72E-03
4.02E+00,6.16E-02,213,-1.38E-01,-3.10E-03,-3.19E-02
4.02E+00,8.62E-02,188,-1.60E-01,2.47E-03,-5.01E-03
4.02E+00,1.11E-01,153,-1.50E-01,3.04E-03,-2.23E-02
4.02E+00,1.35E-01,186,-1.51E-01,2.49E-03,-5.94E-03
4.02E+00,1.59E-01,154,-1.52E-01,-1.44E-02,-2.51E-02
4.02E+00,1.84E-01,192,-1.37E-01,-7.97E-03,-4.92E-03
4.02E+00,2.07E-01,176,-1.21E-01,4.73E-03,-3.70E-02
4.02E+00,2.32E-01,187,-1.33E-01,5.23E-03,-2.88E-02
4.02E+00,2.57E-01,212,-1.24E-01,-8.04E-03,-8.31E-03
4.02E+00,2.81E-01,212,-1.07E-01,-1.01E-02,-2.07E-02
4.02E+00,3.06E-01,223,-9.11E-02,-2.07E-03,-2.06E-02
4.02E+00,3.31E-01,207,-7.69E-02,-2.61E-02,-3.42E-02
4.02E+00,3.55E-01,256,-4.30E-02,-3.26E-02,-1.06E-02
4.02E+00,3.79E-01,200,-3.08E-02,-2.67E-02,-2.01E-02
4.02E+00,4.03E-01,285,-7.31E-03,-4.17E-02,-1.54E-02
4.02E+00,4.28E-01,203,-1.81E-02,-2.53E-02,-1.73E-02
4.02E+00,4.52E-01,233,1.50E-04,-2.53E-02,-1.17E-02
4.02E+00,4.77E-01,199,3.92E-04,-3.03E-02,-4.09E-03
