y/H,N,U/Uc,V/Uc,W/Uc
6.30E-01,5628,9.55E-01,-1.81E-04,-1.39E-02
6.43E-01,5740,9.57E-01,-7.60E-04,-1.38E-02
6.55E-01,5688,9.59E-01,-4.40E-04,-1.49E-02
6.67E-01,5380,9.62E-01,1.62E-04,-1.43E-02
6.79E-01,5472,9.66E-01,-8.91E-05,-1.48E-02
6.92E-01,5827,9.66E-01,-2.85E-04,-1.53E-02
7.04E-01,5839,9.68E-01,3.32E-04,-1.51E-02
7.16E-01,5808,9.72E-01,1.31E-04,-1.49E-02
7.28E-01,5905,9.72E-01,-2.66E-04,-1.41E-02
7.41E-01,5843,9.75E-01,1.03E-03,-1.50E-02
7.53E-01,5933,9.76E-01,6.54E-04,-1.65E-02
7.65E-01,5882,9.80E-01,3.59E-04,-1.59E-02
7.77E-01,5909,9.81E-01,7.95E-04,-1.75E-02
7.90E-01,5913,9.83E-01,4.85E-04,-1.48E-02
8.02E-01,5893,9.85E-01,8.43E-04,-1.48E-02
8.14E-01,6103,9.89E-01,6.53E-04,-1.64E-02
8.26E-01,5780,9.89E-01,5.31E-05,-1.68E-02
8.38E-01,5806,9.92E-01,1.95E-04,-1.66E-02
8.51E-01,5573,9.92E-01,3.35E-04,-1.66E-02
8.63E-01,5710,9.92E-01,8.06E-04,-1.66E-02
8.75E-01,5818,9.95E-01,-1.54E-04,-1.69E-02
8.87E-01,5905,9.95E-01,1.17E-03,-1.51E-02
9.00E-01,5830,9.95E-01,-4.06E-04,-1.62E-02
9.12E-01,5976,9.97E-01,3.27E-04,-1.55E-02
9.24E-01,5787,9.97E-01,7.95E-04,-1.65E-02
9.36E-01,5937,9.98E-01,5.53E-04,-1.62E-02
9.49E-01,6075,9.99E-01,-6.99E-04,-1.70E-02
9.61E-01,5915,9.99E-01,-6.94E-04,-1.60E-02
9.73E-01,5981,9.99E-01,1.44E-03,-1.46E-02
9.85E-01,5911,9.98E-01,-1.99E-04,-1.63E-02
9.98E-01,5809,9.98E-01,1.59E-04,-1.57E-02
1.01E+00,6001,9.98E-01,-1.13E-03,-1.80E-02
1.02E+00,6328,1.00E+00,-5.29E-04,-1.72E-02
1.03E+00,5895,9.99E-01,-1.61E-04,-1.55E-02
1.05E+00,5945,9.98E-01,-1.52E-04,-1.71E-02
1.06E+00,5937,9.98E-01,-3.79E-04,-1.72E-02
1.07E+00,6066,9.97E-01,-8.08E-05,-1.62E-02
1.08E+00,6192,9.96E-01,-1.36E-03,-1.60E-02
1.10E+00,6109,9.94E-01,-3.86E-04,-1.58E-02
