1	74	4.33523	0.0585	-0.00507	4.10129	0.23901	0.87091	-0.0968	0.07525	0.02266	-0.3228	-0.03285	0.01117	-0.02416	0.79785	0.02426	-0.02937	7.14314	0.01394	0.03439	-13.1741	0.00346	-0.00199	0.00009	-0.06701	0.09777	-0.03981	-0.04966	0.01908	2.40416	0.41595	-0.04899	0.04307	0.52384	12.16189
2	88	4.97273	0.05918	-0.00732	4.80273	0.22648	0.94787	-0.13282	0.10093	0.01033	-0.42577	-0.03283	0.00236	0.00178	0.86797	0.02247	-0.02841	8.43802	0.0033	-0.01952	-4.44599	0.00397	-0.00244	-0.0003	-0.08434	0.12735	-0.0473	-0.02229	0.02229	1.70012	0.58819	-0.00825	0.00774	1.11663	144.35378
3	106	5.76771	0.05002	-0.00399	5.60012	0.22494	1.10237	-0.19039	0.11936	0.01483	-0.55802	-0.02957	0.00156	0.0309	1.1313	0.0313	-0.00747	8.80536	-0.00066	-0.02439	-4.45325	0.0046	-0.00277	-0.00028	-0.03961	0.16963	-0.04804	-0.02978	0.02757	1.17793	0.84895	0.00126	-0.00119	-0.02147	18.06706
4	129	6.75182	0.03793	-0.00111	6.54919	0.2419	1.2833	-0.26541	0.15955	0.01675	-0.59061	-0.01394	-0.00437	0.06219	1.30595	0.03659	0.00325	7.94161	-0.00246	-0.0483	-3.61038	0.00536	-0.00251	-0.0003	-0.00938	0.21086	-0.05504	-0.03006	0.03294	0.90962	1.09936	0.00443	-0.00416	-0.03952	9.49212
5	159	7.89675	0.03574	-0.006	7.38686	0.27872	1.47796	-0.36005	0.12924	0.01895	-0.51688	-0.15222	0.01022	0.07032	1.47179	0.06568	-0.01522	6.39189	-0.00055	0.01961	-3.0131	0.00607	-0.0018	-0.00049	-0.04357	0.25093	-0.03911	-0.02953	0.03943	0.77304	1.2936	0.00121	-0.00105	-0.0077	7.33242
6	196	9.01593	0.02579	-0.02084	7.97831	0.33023	1.68152	-0.44821	0.17768	0.02373	-0.36901	0.07784	-0.0009	0.10013	1.55908	0.07909	0.01783	3.57231	-0.01463	-0.01192	-3.03007	0.00663	-0.00111	0.00024	-0.13244	0.27613	-0.04851	-0.03184	0.04493	0.73574	1.35918	0.04803	-0.03876	-0.14607	3.76903
7	245	10.20014	0.0249	-0.02604	8.23002	0.42785	1.89426	-0.57226	0.1579	0.0305	-0.008	0.12766	0.00319	0.06443	1.4354	0.10188	0.01999	0.13715	-0.01965	0.07007	-3.05111	0.007	0.00026	0.00069	-0.14629	0.30496	-0.03999	-0.03388	0.05431	0.74659	1.33942	-0.26479	-0.19232	-0.30469	1.58426
8	307	11.27523	0.0119	-0.05757	8.03028	0.54189	2.1317	-0.68172	0.10822	0.03847	0.35998	0.12737	0.00971	0.05735	1.30107	0.09964	0.02846	-1.97096	-0.06252	0.00316	-3.23004	0.0071	0.00135	0.00048	-0.29255	0.3268	-0.02616	-0.0358	0.06379	0.79363	1.26004	-0.15744	-0.16738	-1.07488	6.42162
9	386	12.28447	0.01543	-0.0263	7.55404	0.70709	2.3177	-0.75562	0.13522	0.04216	0.64488	0.14731	0.03604	-0.04384	1.06962	0.13516	-0.03	-2.84562	-0.05471	0.10357	-3.19378	0.00702	0.0025	0.00099	-0.12265	0.32695	-0.03232	-0.03294	0.07154	0.93433	1.07029	-0.07543	-0.08303	-0.9641	11.61096
10	488	13.09724	0.013	-0.05966	7.13876	0.8899	2.44428	-0.81917	0.13296	0.02597	0.8924	0.17401	0.04696	-0.11888	0.8846	0.05843	-0.00697	-3.12966	-0.02499	-0.039	-1.81567	0.00695	0.00322	0.00063	-0.26099	0.32501	-0.03183	-0.01761	0.07826	1.0858	0.92098	-0.02699	-0.02794	-0.19549	6.99662
