x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-23.000 	0.000 	228.000 	2.411 		-1.690 	3.116 		2.169 		-4.592 	-45.946 		9.949 		23.610 		-15.458 
-23.000 	0.000 	229.000 	2.227 		-1.509 	3.394 		2.337 		-3.714 	-53.048 		26.580 		19.097 		-11.626 
-23.000 	0.000 	231.000 	1.900 		-1.128 	3.856 		2.573 		-5.105 	-78.308 		16.197 		32.340 		-23.345 
-23.000 	0.000 	233.000 	1.323 		-0.680 	4.333 		2.695 		-6.196 	-98.573 		18.394 		40.020 		-27.189 
-23.000 	0.000 	235.000 	0.847 		-0.190 	4.772 		2.878 		-7.137 	-124.366 		20.596 		46.047 		-30.553 
-23.000 	0.000 	237.000 	0.304 		0.172 	4.963 		3.000 		-7.284 	-121.834 		20.965 		44.500 		-31.098 
-23.000 	0.000 	239.000 	-0.028 		0.549 	5.156 		3.166 		-8.685 	-116.441 		21.889 		47.335 		-32.539 
-23.000 	0.000 	241.000 	-0.571 		1.021 	5.281 		3.312 		-9.706 	-110.616 		28.205 		50.466 		-37.475 
-23.000 	0.000 	243.000 	-1.076 		1.503 	5.382 		3.397 		-9.802 	-88.166 		20.722 		34.841 		-27.594 
-23.000 	0.000 	245.000 	-1.185 		1.776 	5.343 		3.404 		-9.415 	-77.112 		21.645 		30.468 		-27.368 
-23.000 	0.000 	248.000 	-1.687 		2.376 	5.204 		3.481 		-8.965 	-41.507 		15.796 		18.362 		-19.560 
-23.000 	0.000 	253.000 	-2.429 		3.089 	5.060 		3.506 		-8.151 	-15.835 		13.945 		9.126 		-13.933 
-23.000 	0.000 	258.000 	-3.258 		3.844 	4.683 		3.559 		-6.727 	2.149 		7.040 		3.789 		-11.377 
-23.000 	0.000 	263.000 	-3.865 		4.308 	4.268 		3.683 		-5.115 	13.406 		9.477 		0.950 		-8.810 
-23.000 	0.000 	268.000 	-4.519 		4.518 	3.815 		3.668 		-3.313 	14.571 		0.753 		1.454 		-4.247 
-23.000 	0.000 	273.000 	-4.992 		4.344 	3.353 		3.837 		-1.451 	8.494 		-11.469 		-0.221 		-6.208 
-23.000 	0.000 	278.000 	-5.330 		4.147 	3.133 		3.997 		-0.807 	5.474 		-22.602 		1.722 		-2.534 
-23.000 	0.000 	283.000 	-5.588 		3.858 	3.025 		4.046 		-0.407 	2.430 		-16.924 		-2.697 		0.350 
-23.000 	0.000 	293.000 	-4.934 		2.689 	3.688 		4.405 		-2.768 	31.147 		-48.913 		-30.119 		25.561 
-23.000 	0.000 	303.000 	-0.785 		0.703 	5.928 		5.626 		-15.129 	102.414 		-108.690 		-83.177 		68.199 
-23.000 	0.000 	313.000 	9.132 		-2.185 	7.155 		6.492 		-23.452 	-47.836 		-6.919 		18.346 		-19.779 
-23.000 	0.000 	323.000 	21.142 		-3.816 	7.143 		6.276 		-22.934 	-69.286 		51.135 		50.802 		-48.828 
-23.000 	0.000 	333.000 	34.445 		-4.764 	5.742 		4.671 		-13.191 	-184.285 		86.522 		85.391 		-75.627 
-23.000 	0.000 	343.000 	41.961 		-4.870 	2.332 		2.272 		-1.707 	-15.711 		15.684 		8.968 		-8.324 
-23.000 	0.000 	353.000 	43.895 		-4.895 	0.999 		1.113 		-0.131 	-0.441 		1.226 		0.452 		-0.221 
-23.000 	0.000 	363.000 	43.948 		-4.783 	0.589 		0.628 		0.004 	-0.083 		0.163 		0.033 		-0.003 
-23.000 	0.000 	373.000 	43.795 		-4.583 	0.478 		0.474 		0.005 	-0.089 		0.061 		0.006 		-0.003 
-23.000 	0.000 	388.000 	43.604 		-4.267 	0.427 		0.408 		0.013 	-0.073 		0.037 		-0.002 		0.002 
