# Profile of uv_comp. at x/H=  .5 z/H=1.0
#   y (mm)    uv_comp.(m2/s2)   18 points
  2.520E+01  -1.375E-01
  2.550E+01  -1.221E-01
  2.600E+01  -1.127E-01
  2.650E+01  -9.890E-02
  2.700E+01  -8.353E-02
  2.800E+01  -3.625E-02
  3.000E+01   2.640E-02
  3.200E+01   1.017E-01
  3.400E+01   1.907E-01
  3.600E+01   2.900E-01
  3.800E+01   3.657E-01
  4.000E+01   4.318E-01
  4.200E+01   5.485E-01
  4.400E+01   6.493E-01
  4.600E+01   7.163E-01
  4.800E+01   7.727E-01
  4.900E+01   8.255E-01
  4.950E+01   7.861E-01
