x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-103.000 	0.000 	291.900 	-1.772 		-0.259 	11.721 		7.432 		-72.370 	-200.316 		115.003 		164.679 		-183.820 
-103.000 	0.000 	292.900 	0.131 		-1.591 	11.929 		8.604 		-70.045 	-269.468 		96.514 		216.270 		-218.688 
-103.000 	0.000 	293.900 	0.739 		-1.909 	11.977 		9.382 		-69.647 	-312.384 		59.783 		247.092 		-234.920 
-103.000 	0.000 	294.900 	1.522 		-2.506 	11.845 		9.956 		-69.683 	-341.407 		77.064 		237.235 		-234.469 
-103.000 	0.000 	295.900 	2.422 		-3.068 	11.993 		10.573 		-71.814 	-378.234 		69.552 		271.942 		-241.704 
-103.000 	0.000 	296.900 	2.977 		-3.178 	12.036 		10.987 		-74.237 	-383.744 		78.452 		259.528 		-226.401 
-103.000 	0.000 	297.900 	3.925 		-3.849 	12.150 		11.342 		-73.754 	-377.995 		112.060 		254.766 		-244.114 
-103.000 	0.000 	298.900 	4.718 		-4.364 	12.242 		11.633 		-73.338 	-415.100 		176.916 		238.703 		-274.234 
-103.000 	0.000 	299.900 	5.880 		-4.950 	12.457 		11.749 		-76.644 	-401.681 		172.622 		282.849 		-290.017 
-103.000 	0.000 	300.900 	6.551 		-5.035 	12.582 		12.308 		-80.223 	-440.658 		216.047 		266.877 		-284.343 
-103.000 	0.000 	301.900 	7.471 		-5.676 	12.704 		12.361 		-81.215 	-455.546 		372.018 		275.018 		-357.126 
-103.000 	0.000 	302.900 	8.671 		-5.986 	12.878 		12.517 		-84.767 	-482.098 		358.857 		301.727 		-336.612 
-103.000 	0.000 	303.900 	9.738 		-6.772 	13.034 		12.472 		-85.366 	-554.542 		470.107 		358.902 		-408.359 
-103.000 	0.000 	304.900 	10.591 		-7.039 	12.941 		12.400 		-84.559 	-520.930 		497.951 		355.605 		-419.007 
-103.000 	0.000 	305.900 	11.971 		-7.508 	13.107 		12.498 		-86.596 	-594.755 		573.164 		386.064 		-448.851 
-103.000 	0.000 	306.900 	13.120 		-8.088 	13.115 		12.486 		-88.339 	-641.401 		651.657 		415.703 		-512.388 
-103.000 	0.000 	307.900 	14.189 		-8.016 	13.145 		12.475 		-89.987 	-657.933 		705.777 		444.905 		-553.223 
-103.000 	0.000 	308.000 	14.272 		-8.045 	13.138 		12.485 		-90.058 	-658.385 		707.477 		447.979 		-559.618 
-103.000 	0.000 	310.000 	17.364 		-9.275 	13.096 		12.268 		-90.240 	-936.303 		980.334 		649.914 		-774.226 
-103.000 	0.000 	313.000 	22.269 		-10.944 	12.650 		11.630 		-81.450 	-1180.057 		1214.598 		777.622 		-929.378 
-103.000 	0.000 	318.000 	29.944 		-12.683 	11.417 		10.277 		-65.210 	-1416.472 		1246.411 		883.458 		-1016.098 
-103.000 	0.000 	323.000 	36.881 		-13.726 	9.205 		8.262 		-39.932 	-1207.479 		884.070 		676.194 		-716.075 
-103.000 	0.000 	333.000 	45.060 		-14.074 	3.758 		4.465 		-6.124 	-133.468 		212.982 		104.165 		-118.194 
-103.000 	0.000 	343.000 	46.148 		-13.290 	1.751 		2.139 		0.008 	3.437 		28.681 		5.152 		-1.726 
-103.000 	0.000 	353.000 	45.930 		-12.482 	1.024 		1.130 		0.202 	0.680 		2.669 		0.645 		0.330 
-103.000 	0.000 	363.000 	45.719 		-11.636 	0.698 		0.716 		0.102 	0.066 		0.437 		0.130 		0.046 
-103.000 	0.000 	373.000 	45.502 		-10.781 	0.546 		0.518 		0.066 	0.014 		0.122 		0.039 		0.016 
-103.000 	0.000 	388.000 	45.122 		-9.729 	0.423 		0.398 		0.035 	-0.005 		0.023 		0.017 		0.001 
																	
																	
																	
																	
																	
