x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-223.000 	0.000 	339.700 	38.375 		0.251 	3.364 		1.954 		-2.830 	-8.599 		2.108 		4.012 		-2.341 
-223.000 	0.000 	340.700 	40.929 		-0.062 	2.983 		1.866 		-2.362 	-7.945 		1.457 		3.471 		-1.734 
-223.000 	0.000 	341.700 	42.532 		-0.298 	2.748 		1.822 		-2.159 	-7.453 		1.333 		2.740 		-1.471 
-223.000 	0.000 	342.700 	43.745 		-0.516 	2.517 		1.762 		-1.900 	-5.062 		1.344 		2.002 		-1.424 
-223.000 	0.000 	343.700 	44.674 		-0.663 	2.395 		1.724 		-1.790 	-5.678 		1.506 		2.042 		-1.385 
-223.000 	0.000 	345.700 	46.231 		-0.955 	2.110 		1.592 		-1.471 	-4.902 		1.632 		1.956 		-1.564 
-223.000 	0.000 	347.700 	47.514 		-1.248 	1.800 		1.400 		-1.045 	-4.012 		1.316 		1.586 		-1.346 
-223.000 	0.000 	349.700 	48.483 		-1.453 	1.549 		1.229 		-0.792 	-3.999 		1.326 		1.513 		-1.276 
-223.000 	0.000 	351.700 	49.259 		-1.652 	1.218 		1.013 		-0.475 	-2.637 		0.974 		0.971 		-0.908 
-223.000 	0.000 	353.700 	49.689 		-1.839 	0.879 		0.804 		-0.236 	-1.268 		0.559 		0.502 		-0.439 
-223.000 	0.000 	355.700 	49.866 		-2.030 	0.652 		0.623 		-0.107 	-0.465 		0.275 		0.185 		-0.159 
-223.000 	0.000 	357.700 	49.848 		-2.196 	0.546 		0.499 		-0.051 	-0.168 		0.128 		0.068 		-0.036 
-223.000 	0.000 	359.700 	49.749 		-2.366 	0.498 		0.416 		-0.035 	-0.111 		0.027 		0.017 		0.003 
-223.000 	0.000 	361.700 	49.572 		-2.502 	0.492 		0.387 		-0.030 	-0.102 		0.024 		0.012 		0.000 
-223.000 	0.000 	363.700 	49.445 		-2.637 	0.462 		0.367 		-0.028 	-0.079 		0.015 		0.012 		-0.002 
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
