x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-3.000 	0.000 	246.300 	11.098 		-5.745 	6.291 		5.298 		-17.371 	65.475 		-8.718 		-56.879 		32.438 
-3.000 	0.000 	247.300 	11.730 		-6.174 	6.320 		5.733 		-16.914 	68.194 		-19.344 		-58.655 		34.046 
-3.000 	0.000 	248.300 	12.250 		-6.658 	6.414 		6.243 		-17.224 	59.519 		-31.881 		-59.183 		37.583 
-3.000 	0.000 	249.300 	12.672 		-6.916 	6.572 		6.600 		-16.778 	64.650 		-38.752 		-56.060 		37.944 
-3.000 	0.000 	250.300 	13.070 		-7.172 	6.715 		6.873 		-17.281 	75.595 		-45.498 		-60.934 		42.472 
-3.000 	0.000 	251.300 	13.389 		-7.329 	6.717 		7.096 		-17.557 	62.407 		-37.383 		-56.117 		39.043 
-3.000 	0.000 	252.300 	13.418 		-7.373 	6.652 		7.355 		-17.523 	52.364 		-40.613 		-54.685 		39.659 
-3.000 	0.000 	253.300 	13.888 		-7.657 	6.748 		7.608 		-18.078 	45.854 		-45.599 		-61.111 		38.986 
-3.000 	0.000 	254.300 	14.003 		-7.843 	6.952 		7.788 		-18.672 	60.626 		-43.236 		-63.414 		44.777 
-3.000 	0.000 	255.300 	14.393 		-7.959 	6.944 		7.911 		-19.183 	56.387 		-49.212 		-61.984 		48.643 
-3.000 	0.000 	256.300 	14.886 		-8.191 	6.951 		8.072 		-20.634 	51.358 		-45.108 		-56.560 		34.593 
-3.000 	0.000 	257.300 	15.159 		-8.379 	7.132 		8.185 		-19.912 	60.094 		-26.802 		-66.541 		50.333 
-3.000 	0.000 	258.300 	15.639 		-8.512 	7.159 		8.377 		-21.205 	30.168 		-36.006 		-49.810 		40.422 
-3.000 	0.000 	259.300 	15.816 		-8.709 	7.216 		8.461 		-22.108 	50.813 		-19.932 		-50.917 		36.308 
-3.000 	0.000 	260.300 	16.286 		-8.856 	7.273 		8.534 		-21.900 	40.733 		-11.817 		-49.708 		29.046 
-3.000 	0.000 	261.000 	16.454 		-8.991 	7.290 		8.538 		-22.118 	41.342 		-7.387 		-45.014 		25.031 
-3.000 	0.000 	263.000 	17.203 		-9.375 	7.449 		8.672 		-25.437 	49.023 		33.615 		-28.915 		7.178 
-3.000 	0.000 	268.000 	19.455 		-10.195 	7.785 		8.877 		-28.133 	30.278 		127.372 		-17.878 		-37.537 
-3.000 	0.000 	273.000 	21.982 		-11.170 	8.094 		9.059 		-33.156 	-63.526 		285.012 		50.365 		-127.239 
-3.000 	0.000 	283.000 	27.957 		-13.031 	8.220 		8.502 		-33.521 	-297.577 		511.745 		180.960 		-273.552 
-3.000 	0.000 	293.000 	33.676 		-14.442 	7.225 		7.209 		-25.105 	-447.317 		491.468 		266.643 		-329.603 
-3.000 	0.000 	303.000 	37.852 		-14.945 	5.197 		5.691 		-11.633 	-282.345 		334.438 		166.243 		-218.344 
-3.000 	0.000 	313.000 	40.168 		-14.929 	2.990 		3.806 		-2.729 	-58.068 		136.187 		44.960 		-59.457 
-3.000 	0.000 	323.000 	40.969 		-14.394 	1.785 		2.351 		-0.438 	-3.039 		36.939 		10.984 		-11.597 
-3.000 	0.000 	333.000 	41.196 		-13.701 	1.106 		1.364 		0.117 	3.126 		7.553 		1.074 		1.183 
-3.000 	0.000 	343.000 	41.285 		-12.997 	0.752 		0.848 		0.029 	0.702 		0.737 		0.215 		0.381 
-3.000 	0.000 	353.000 	41.359 		-12.321 	0.550 		0.601 		0.006 	0.187 		0.187 		0.065 		0.087 
-3.000 	0.000 	363.000 	41.420 		-11.677 	0.459 		0.458 		-0.007 	0.051 		0.048 		0.025 		0.020 
-3.000 	0.000 	373.000 	41.491 		-11.058 	0.393 		0.359 		-0.010 	0.016 		0.028 		0.010 		0.007 
-3.000 	0.000 	388.000 	41.606 		-10.111 	0.356 		0.322 		-0.013 	-0.003 		0.012 		0.009 		-0.002 
																	
																	
																	
