x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-63.000 	0.000 	274.000 	5.611 		-3.983 	8.313 		6.637 		-35.215 	-68.999 		91.356 		87.518 		-119.020 
-63.000 	0.000 	275.000 	6.410 		-4.405 	8.667 		7.173 		-35.218 	-54.607 		82.543 		82.360 		-108.470 
-63.000 	0.000 	276.000 	6.842 		-4.906 	8.767 		7.773 		-36.042 	-64.484 		53.989 		69.144 		-102.158 
-63.000 	0.000 	277.000 	7.411 		-5.037 	8.798 		8.228 		-36.182 	-56.975 		39.021 		72.273 		-101.314 
-63.000 	0.000 	278.000 	7.951 		-5.635 	8.875 		8.817 		-36.045 	-41.904 		48.686 		79.693 		-114.783 
-63.000 	0.000 	279.000 	8.177 		-5.679 	8.961 		8.976 		-36.129 	-81.199 		34.335 		72.650 		-104.325 
-63.000 	0.000 	280.000 	8.706 		-6.012 	9.060 		9.310 		-38.441 	-90.477 		36.219 		79.963 		-105.091 
-63.000 	0.000 	281.000 	9.157 		-6.288 	9.240 		9.651 		-40.381 	-82.961 		50.953 		70.597 		-95.020 
-63.000 	0.000 	282.000 	9.694 		-6.427 	9.413 		10.005 		-41.586 	-102.486 		73.644 		80.408 		-126.014 
-63.000 	0.000 	283.000 	10.279 		-6.692 	9.493 		10.047 		-40.612 	-86.576 		66.158 		75.519 		-113.853 
-63.000 	0.000 	284.000 	11.005 		-6.985 	9.682 		10.098 		-42.575 	-91.592 		112.970 		76.047 		-117.921 
-63.000 	0.000 	285.000 	11.503 		-7.268 	9.545 		10.331 		-44.124 	-89.653 		132.010 		86.630 		-131.664 
-63.000 	0.000 	286.000 	12.055 		-7.465 	9.786 		10.419 		-47.363 	-130.302 		137.554 		81.989 		-127.168 
-63.000 	0.000 	287.000 	12.768 		-7.862 	9.870 		10.411 		-44.965 	-115.492 		187.766 		98.763 		-150.929 
-63.000 	0.000 	288.000 	13.345 		-7.930 	9.928 		10.633 		-46.976 	-141.595 		206.188 		109.257 		-149.155 
-63.000 	0.000 	289.000 	13.905 		-8.113 	10.115 		10.734 		-49.743 	-157.508 		248.283 		121.670 		-177.605 
-63.000 	0.000 	289.000 	13.910 		-8.086 	10.142 		10.744 		-49.781 	-157.035 		247.755 		121.997 		-178.617 
-63.000 	0.000 	291.000 	15.475 		-8.851 	10.363 		10.883 		-54.486 	-211.911 		385.075 		145.897 		-229.469 
-63.000 	0.000 	293.000 	16.939 		-9.302 	10.373 		10.888 		-55.678 	-265.956 		468.429 		179.425 		-291.195 
-63.000 	0.000 	298.000 	21.781 		-11.128 	10.475 		10.523 		-56.546 	-452.991 		742.747 		315.521 		-472.306 
-63.000 	0.000 	303.000 	26.344 		-12.396 	10.161 		9.920 		-51.288 	-657.897 		884.138 		411.766 		-576.691 
-63.000 	0.000 	313.000 	35.778 		-14.277 	7.893 		7.822 		-31.391 	-708.919 		717.802 		437.350 		-519.684 
-63.000 	0.000 	323.000 	41.596 		-14.754 	4.446 		5.129 		-8.566 	-215.273 		292.859 		145.422 		-178.838 
-63.000 	0.000 	333.000 	43.301 		-14.212 	2.149 		2.898 		-1.040 	-3.829 		75.353 		19.424 		-20.526 
-63.000 	0.000 	343.000 	43.529 		-13.513 	1.282 		1.492 		0.020 	2.985 		8.148 		1.435 		0.671 
-63.000 	0.000 	353.000 	43.537 		-12.749 	0.846 		0.888 		0.050 	0.671 		1.526 		0.456 		0.380 
-63.000 	0.000 	363.000 	43.539 		-11.960 	0.619 		0.595 		0.015 	0.110 		0.253 		0.066 		0.057 
-63.000 	0.000 	373.000 	43.508 		-11.247 	0.512 		0.433 		0.010 	0.035 		0.077 		0.029 		0.014 
-63.000 	0.000 	388.000 	43.421 		-10.260 	0.416 		0.349 		-0.002 	-0.002 		0.023 		0.012 		0.000 
																	
																	
																	
																	
