x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-143.000 	0.000 	310.800 	-8.121 		4.730 	12.702 		8.422 		-77.259 	402.835 		88.763 		-65.130 		-69.048 
-143.000 	0.000 	311.800 	-6.341 		3.267 	13.475 		10.490 		-88.097 	313.989 		-133.198 		-13.752 		-21.283 
-143.000 	0.000 	312.800 	-5.167 		2.577 	13.846 		11.477 		-93.178 	206.207 		-186.902 		3.793 		-11.924 
-143.000 	0.000 	313.800 	-3.246 		1.278 	14.294 		12.479 		-97.069 	48.772 		-148.080 		109.865 		-77.985 
-143.000 	0.000 	314.800 	-1.142 		0.207 	14.994 		13.101 		-111.172 	-4.166 		-65.755 		101.391 		-99.784 
-143.000 	0.000 	315.800 	0.820 		-1.114 	15.371 		13.711 		-117.905 	-228.914 		146.832 		224.997 		-250.229 
-143.000 	0.000 	316.800 	3.008 		-2.316 	15.620 		14.223 		-123.821 	-525.962 		343.155 		403.118 		-392.099 
-143.000 	0.000 	317.800 	5.622 		-3.492 	15.876 		14.302 		-128.337 	-830.018 		568.413 		638.991 		-625.006 
-143.000 	0.000 	318.800 	8.172 		-4.343 	16.181 		14.214 		-126.812 	-1069.864 		776.018 		723.495 		-776.755 
-143.000 	0.000 	319.800 	10.888 		-5.436 	16.221 		14.235 		-128.651 	-1402.451 		996.015 		924.850 		-923.580 
-143.000 	0.000 	320.800 	13.418 		-6.445 	15.963 		13.931 		-122.949 	-1552.841 		1183.343 		1046.467 		-1065.888 
-143.000 	0.000 	321.800 	16.150 		-7.363 	15.892 		13.806 		-122.849 	-1739.217 		1324.884 		1191.628 		-1218.689 
-143.000 	0.000 	322.800 	18.790 		-8.348 	15.713 		13.209 		-114.146 	-2085.101 		1417.641 		1270.219 		-1267.920 
-143.000 	0.000 	323.800 	21.420 		-8.901 	15.313 		12.883 		-109.400 	-2133.858 		1466.120 		1278.809 		-1305.367 
-143.000 	0.000 	324.800 	23.810 		-9.358 	14.705 		12.505 		-104.769 	-2074.880 		1475.812 		1321.523 		-1351.926 
-143.000 	0.000 	325.800 	26.119 		-9.911 	14.083 		11.829 		-92.350 	-1962.967 		1374.593 		1179.651 		-1253.601 
-143.000 	0.000 	326.800 	28.576 		-10.232 	13.575 		11.328 		-87.814 	-2081.483 		1335.627 		1212.080 		-1213.087 
-143.000 	0.000 	327.000 	28.455 		-10.593 	13.359 		11.000 		-87.448 	-2011.775 		1317.668 		1188.562 		-1219.872 
-143.000 	0.000 	329.000 	33.698 		-11.182 	11.850 		9.746 		-66.403 	-1924.131 		1138.131 		1091.305 		-1089.807 
-143.000 	0.000 	333.000 	42.494 		-11.870 	7.890 		6.920 		-28.931 	-999.579 		603.665 		575.866 		-554.345 
-143.000 	0.000 	338.000 	47.683 		-11.561 	3.860 		4.324 		-7.394 	-161.134 		202.674 		120.229 		-125.621 
-143.000 	0.000 	343.000 	49.479 		-11.387 	1.848 		2.683 		-0.765 	-8.094 		52.432 		13.840 		-16.868 
-143.000 	0.000 	353.000 	49.091 		-10.739 	0.850 		1.335 		0.303 	-0.115 		1.886 		0.353 		-0.022 
-143.000 	0.000 	363.000 	48.440 		-9.980 	0.551 		0.915 		0.150 	-0.067 		0.302 		0.031 		-0.023 
-143.000 	0.000 	373.000 	47.827 		-9.279 	0.472 		0.659 		0.081 	-0.043 		0.070 		0.010 		-0.017 
-143.000 	0.000 	388.000 	46.994 		-8.300 	0.366 		0.497 		0.032 	-0.008 		0.032 		0.010 		-0.004 
																	
																	
																	
																	
																	
																	
																	
