x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-243.000 	0.000 	339.600 	36.411 		-0.175 	3.446 		1.941 		-2.895 	-7.227 		1.752 		3.245 		-1.935 
-243.000 	0.000 	340.600 	38.774 		-0.261 	3.105 		1.907 		-2.630 	-8.523 		1.554 		3.750 		-2.174 
-243.000 	0.000 	341.600 	40.375 		-0.362 	2.840 		1.839 		-2.244 	-6.517 		1.397 		2.718 		-1.549 
-243.000 	0.000 	342.600 	41.617 		-0.454 	2.618 		1.820 		-2.063 	-5.440 		1.771 		2.409 		-1.710 
-243.000 	0.000 	343.600 	42.741 		-0.524 	2.432 		1.724 		-1.808 	-5.244 		1.457 		1.958 		-1.409 
-243.000 	0.000 	345.600 	44.298 		-0.678 	2.174 		1.593 		-1.494 	-4.904 		1.524 		1.936 		-1.549 
-243.000 	0.000 	347.600 	45.544 		-0.784 	1.912 		1.434 		-1.161 	-4.884 		1.356 		1.782 		-1.312 
-243.000 	0.000 	349.600 	46.647 		-0.888 	1.622 		1.251 		-0.851 	-4.104 		1.281 		1.515 		-1.321 
-243.000 	0.000 	351.600 	47.543 		-1.000 	1.274 		1.033 		-0.515 	-3.066 		1.020 		1.168 		-1.035 
-243.000 	0.000 	353.600 	48.122 		-1.109 	0.887 		0.808 		-0.253 	-1.410 		0.594 		0.558 		-0.516 
-243.000 	0.000 	355.600 	48.385 		-1.206 	0.598 		0.589 		-0.082 	-0.315 		0.235 		0.147 		-0.140 
-243.000 	0.000 	356.600 	48.246 		-1.279 	0.468 		0.537 		-0.099 	-0.224 		0.226 		0.144 		-0.122 
-243.000 	0.000 	357.600 	48.441 		-1.300 	0.488 		0.447 		-0.036 	-0.085 		0.090 		0.054 		-0.036 
-243.000 	0.000 	359.600 	48.394 		-1.406 	0.437 		0.375 		-0.016 	-0.032 		0.034 		0.020 		0.004 
-243.000 	0.000 	361.600 	48.365 		-1.501 	0.416 		0.344 		-0.019 	-0.026 		0.007 		0.012 		0.002 
-243.000 	0.000 	363.000 	48.147 		-1.671 	0.406 		0.327 		-0.024 	-0.033 		0.006 		0.009 		-0.001 
-243.000 	0.000 	373.000 	47.798 		-2.061 	0.395 		0.314 		-0.029 	-0.016 		0.009 		0.006 		-0.002 
-243.000 	0.000 	388.000 	47.207 		-2.408 	0.358 		0.301 		-0.021 	-0.012 		0.013 		0.006 		-0.003 
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
