x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-43.000 	0.000 	264.000 	6.410 		-4.153 	7.108 		5.523 		-28.704 	-33.208 		81.712 		8.505 		-49.199 
-43.000 	0.000 	265.000 	7.760 		-4.894 	7.600 		6.319 		-29.314 	-13.277 		71.352 		-2.130 		-43.849 
-43.000 	0.000 	266.000 	8.391 		-5.379 	7.659 		6.949 		-28.736 	-18.950 		59.384 		-1.431 		-43.571 
-43.000 	0.000 	267.000 	9.087 		-5.462 	7.792 		7.331 		-28.948 	-15.723 		43.306 		7.344 		-33.533 
-43.000 	0.000 	268.000 	9.255 		-5.977 	7.938 		7.753 		-30.020 	-21.459 		46.534 		-1.873 		-41.368 
-43.000 	0.000 	269.000 	9.709 		-6.259 	7.969 		8.043 		-29.862 	-30.560 		22.463 		6.917 		-46.701 
-43.000 	0.000 	270.000 	10.010 		-6.345 	8.074 		8.315 		-29.986 	-13.204 		38.735 		7.664 		-47.462 
-43.000 	0.000 	271.000 	10.515 		-6.590 	8.088 		8.597 		-29.872 	-28.323 		23.371 		-3.624 		-36.486 
-43.000 	0.000 	272.000 	10.958 		-6.739 	8.086 		8.908 		-30.848 	-35.693 		18.245 		0.911 		-36.566 
-43.000 	0.000 	273.000 	11.429 		-7.231 	8.413 		9.039 		-32.720 	-44.092 		35.352 		4.057 		-52.088 
-43.000 	0.000 	274.000 	11.897 		-7.347 	8.576 		9.290 		-35.211 	-45.222 		55.438 		1.610 		-38.262 
-43.000 	0.000 	275.000 	12.442 		-7.530 	8.655 		9.549 		-36.295 	-48.812 		73.341 		4.675 		-48.544 
-43.000 	0.000 	276.000 	12.880 		-7.736 	8.586 		9.428 		-35.870 	-45.313 		87.686 		10.005 		-62.813 
-43.000 	0.000 	277.000 	13.397 		-7.977 	8.610 		9.625 		-36.079 	-57.942 		127.115 		-0.356 		-68.267 
-43.000 	0.000 	278.000 	13.898 		-7.937 	8.835 		9.707 		-38.943 	-62.099 		128.213 		22.325 		-73.576 
-43.000 	0.000 	279.000 	14.534 		-8.334 	8.869 		9.941 		-37.694 	-74.521 		144.815 		25.231 		-68.516 
-43.000 	0.000 	280.000 	14.929 		-8.323 	9.053 		9.924 		-40.274 	-87.659 		145.757 		30.186 		-71.116 
-43.000 	0.000 	281.000 	15.571 		-8.782 	8.981 		10.051 		-39.246 	-71.952 		199.753 		32.297 		-96.133 
-43.000 	0.000 	281.000 	15.525 		-8.738 	8.973 		10.004 		-39.141 	-71.907 		200.270 		32.192 		-96.490 
-43.000 	0.000 	283.000 	16.853 		-9.203 	9.239 		10.200 		-41.298 	-98.709 		293.202 		47.698 		-136.401 
-43.000 	0.000 	288.000 	20.123 		-10.613 	9.489 		10.169 		-44.756 	-216.445 		494.924 		144.219 		-265.779 
-43.000 	0.000 	293.000 	24.125 		-11.805 	9.460 		9.703 		-44.286 	-352.391 		631.694 		225.215 		-377.435 
-43.000 	0.000 	303.000 	32.139 		-13.865 	8.617 		8.385 		-37.182 	-686.211 		762.585 		431.937 		-541.633 
-43.000 	0.000 	313.000 	38.646 		-14.831 	5.842 		6.271 		-15.557 	-402.841 		446.558 		245.836 		-300.935 
-43.000 	0.000 	323.000 	41.694 		-14.740 	3.130 		3.966 		-3.293 	-65.761 		150.194 		56.656 		-69.796 
-43.000 	0.000 	333.000 	42.455 		-14.124 	1.719 		2.297 		-0.313 	2.241 		34.065 		7.171 		-5.639 
-43.000 	0.000 	343.000 	42.640 		-13.422 	1.086 		1.207 		0.056 	2.456 		3.271 		0.862 		0.983 
-43.000 	0.000 	353.000 	42.683 		-12.668 	0.733 		0.778 		0.011 	0.440 		0.718 		0.174 		0.213 
-43.000 	0.000 	363.000 	42.712 		-11.931 	0.539 		0.557 		-0.001 	0.092 		0.181 		0.062 		0.051 
-43.000 	0.000 	373.000 	42.718 		-11.272 	0.440 		0.417 		-0.004 	0.014 		0.063 		0.022 		0.013 
-43.000 	0.000 	388.000 	42.751 		-10.288 	0.372 		0.337 		-0.008 	-0.007 		0.018 		0.010 		-0.001 
																	
																	
