x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-203.000 	0.000 	339.600 	45.216 		-0.872 	3.328 		1.612 		-3.222 	-14.873 		1.657 		5.241 		-2.946 
-203.000 	0.000 	340.600 	47.181 		-1.398 	2.759 		1.503 		-2.582 	-7.059 		0.432 		2.279 		-1.096 
-203.000 	0.000 	341.600 	48.118 		-1.704 	2.454 		1.463 		-2.342 	-4.466 		0.464 		1.619 		-0.924 
-203.000 	0.000 	342.600 	48.653 		-1.923 	2.270 		1.432 		-2.202 	-3.849 		0.258 		1.572 		-1.127 
-203.000 	0.000 	343.600 	49.105 		-2.201 	2.121 		1.389 		-2.069 	-4.368 		0.388 		1.836 		-1.040 
-203.000 	0.000 	345.600 	49.869 		-2.564 	1.843 		1.254 		-1.682 	-3.377 		0.304 		1.406 		-0.940 
-203.000 	0.000 	347.600 	50.363 		-2.870 	1.617 		1.142 		-1.414 	-2.996 		0.575 		1.161 		-0.974 
-203.000 	0.000 	349.600 	50.527 		-3.147 	1.519 		1.089 		-1.285 	-3.541 		0.604 		1.465 		-1.237 
-203.000 	0.000 	351.600 	50.721 		-3.359 	1.332 		1.035 		-1.081 	-3.374 		0.846 		1.417 		-1.309 
-203.000 	0.000 	353.600 	50.800 		-3.568 	1.120 		0.912 		-0.796 	-2.628 		0.794 		1.134 		-1.096 
-203.000 	0.000 	355.600 	50.695 		-3.752 	0.934 		0.810 		-0.563 	-1.680 		0.513 		0.729 		-0.689 
-203.000 	0.000 	357.600 	50.578 		-3.894 	0.809 		0.704 		-0.404 	-1.174 		0.105 		0.450 		-0.407 
-203.000 	0.000 	359.600 	50.524 		-4.010 	0.678 		0.628 		-0.285 	-0.470 		0.023 		0.216 		-0.218 
-203.000 	0.000 	361.600 	50.401 		-4.121 	0.574 		0.577 		-0.212 	-0.113 		0.061 		0.099 		-0.067 
-203.000 	0.000 	363.000 	50.280 		-4.185 	0.513 		0.533 		-0.162 	-0.038 		0.012 		0.012 		0.000 
-203.000 	0.000 	373.000 	49.329 		-4.415 	0.450 		0.461 		-0.104 	-0.011 		0.016 		0.006 		-0.004 
-203.000 	0.000 	388.000 	48.223 		-4.465 	0.373 		0.386 		-0.050 	-0.032 		0.018 		0.013 		-0.006 
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
