x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
38.000	0.000	428.000	40.757	0.459	-7.648	0.334	0.279	0.258	0.001	-0.008	-0.003	-0.012	0.005	-0.034	0.007	-0.008
38.000	0.000	458.000	40.896	0.534	-6.505	0.344	0.274	0.248	0.002	-0.009	-0.016	-0.011	0.008	-0.037	0.006	-0.008
38.000	0.000	488.000	40.994	0.717	-5.463	0.342	0.275	0.234	0.002	-0.008	-0.011	-0.013	0.006	-0.039	0.007	-0.008
38.000	0.000	518.000	41.058	0.547	-4.589	0.342	0.276	0.247	0.002	-0.007	-0.016	-0.011	0.011	-0.037	0.006	-0.009
38.000	0.000	558.000	41.124	0.342	-3.683	0.345	0.282	0.264	0.000	-0.008	-0.020	-0.011	0.009	-0.037	0.007	-0.008
38.000	0.000	598.000	41.127	0.327	-3.044	0.346	0.281	0.242	0.000	-0.009	-0.022	-0.011	0.009	-0.036	0.007	-0.009
38.000	0.000	638.000	41.143	0.278	-2.563	0.344	0.279	0.263	-0.001	-0.007	-0.016	-0.014	0.012	-0.038	0.006	-0.008
38.000	0.000	688.000	41.106	0.402	-2.002	0.347	0.277	0.269	0.002	-0.005	-0.014	-0.012	0.009	-0.037	0.008	-0.008
38.000	0.000	738.000	41.080	0.430	-1.595	0.345	0.274	0.262	0.001	-0.005	-0.016	-0.011	0.007	-0.033	0.007	-0.008
																	
																	
