x[mm]	y[mm]	z[mm]	U[m/s]	V[m/s]	W[m/s]	urms[m/s]	vrms[m/s]	wrms[m/s]	uv[m2/s2]	uw[m2/s2]	uuu[m3/s3]	vvv[m3/s3]	www[m3/s3]	uuv[m3/s3]	uuw[m3/s3]	uvv[m3/s3]	uww[m3/s3]
-23.000 	0.000 	254.900 	8.397 		-4.982 	6.679 		5.204 		-20.321 	70.529 		8.297 		-36.927 		9.571 
-23.000 	0.000 	255.900 	9.405 		-5.672 	6.815 		5.880 		-20.257 	58.514 		-11.050 		-25.254 		6.406 
-23.000 	0.000 	256.900 	9.831 		-5.842 	6.917 		6.270 		-20.073 	60.819 		-12.682 		-31.488 		9.200 
-23.000 	0.000 	257.900 	10.257 		-6.075 	6.979 		6.621 		-19.601 	56.446 		-17.444 		-28.780 		8.575 
-23.000 	0.000 	258.900 	10.716 		-6.555 	7.152 		6.948 		-19.510 	66.806 		-34.036 		-35.188 		15.374 
-23.000 	0.000 	259.900 	10.903 		-6.516 	7.163 		7.192 		-21.130 	51.698 		-37.510 		-40.443 		21.377 
-23.000 	0.000 	260.900 	11.249 		-6.734 	7.267 		7.597 		-20.540 	45.306 		-27.470 		-37.491 		16.591 
-23.000 	0.000 	261.900 	11.777 		-7.028 	7.308 		7.734 		-21.097 	47.308 		-41.204 		-32.223 		17.209 
-23.000 	0.000 	262.900 	12.241 		-7.315 	7.412 		8.019 		-21.521 	46.993 		-22.499 		-23.751 		12.127 
-23.000 	0.000 	263.900 	12.523 		-7.391 	7.475 		8.094 		-22.161 	30.828 		-29.023 		-26.208 		21.451 
-23.000 	0.000 	264.900 	12.917 		-7.671 	7.614 		8.438 		-24.269 	28.940 		-24.128 		-33.872 		19.978 
-23.000 	0.000 	265.900 	13.167 		-7.728 	7.714 		8.487 		-24.981 	37.055 		-2.472 		-26.124 		13.629 
-23.000 	0.000 	266.900 	13.713 		-7.900 	7.795 		8.667 		-25.957 	38.453 		-2.936 		-30.118 		15.399 
-23.000 	0.000 	267.900 	14.275 		-8.298 	7.852 		8.710 		-25.169 	34.793 		-3.006 		-35.864 		18.882 
-23.000 	0.000 	268.900 	14.674 		-8.387 	7.863 		8.811 		-26.557 	23.690 		4.605 		-15.568 		-3.053 
-23.000 	0.000 	269.900 	15.091 		-8.696 	7.910 		8.900 		-27.354 	18.359 		41.760 		-8.657 		-10.474 
-23.000 	0.000 	270.900 	15.496 		-8.661 	8.007 		9.062 		-27.788 	24.753 		39.151 		-23.092 		-4.948 
-23.000 	0.000 	271.000 	15.703 		-8.667 	8.020 		9.152 		-27.726 	25.870 		38.022 		-23.175 		-5.049 
-23.000 	0.000 	273.000 	16.713 		-9.031 	8.087 		9.378 		-30.545 	30.048 		109.356 		-25.519 		-46.901 
-23.000 	0.000 	278.000 	19.632 		-10.393 	8.587 		9.565 		-35.907 	-85.272 		253.945 		52.572 		-132.506 
-23.000 	0.000 	283.000 	22.703 		-11.238 	8.895 		9.483 		-38.849 	-165.806 		454.680 		116.632 		-226.726 
-23.000 	0.000 	293.000 	29.528 		-13.352 	8.447 		8.580 		-35.725 	-448.672 		629.382 		287.113 		-396.619 
-23.000 	0.000 	303.000 	35.927 		-14.627 	6.752 		6.965 		-21.341 	-484.286 		530.431 		272.281 		-348.979 
-23.000 	0.000 	313.000 	39.765 		-14.899 	4.197 		5.039 		-7.117 	-172.234 		259.294 		109.630 		-145.923 
-23.000 	0.000 	323.000 	41.324 		-14.545 	2.346 		3.149 		-1.401 	-21.997 		84.486 		28.868 		-32.696 
-23.000 	0.000 	333.000 	41.735 		-13.941 	1.383 		1.778 		-0.047 	3.291 		16.092 		3.027 		-0.473 
-23.000 	0.000 	343.000 	41.857 		-13.219 	0.911 		1.027 		0.051 	1.346 		2.040 		0.585 		0.585 
-23.000 	0.000 	353.000 	41.950 		-12.501 	0.640 		0.681 		-0.001 	0.247 		0.356 		0.081 		0.091 
-23.000 	0.000 	363.000 	42.002 		-11.835 	0.499 		0.506 		-0.010 	0.043 		0.098 		0.030 		0.028 
-23.000 	0.000 	373.000 	42.042 		-11.208 	0.433 		0.393 		-0.013 	0.000 		0.049 		0.014 		0.009 
-23.000 	0.000 	388.000 	42.150 		-10.225 	0.369 		0.327 		-0.012 	-0.013 		0.014 		0.008 		0.000 
																	
																	
